"Function Name",Count
__,37178
pht,23002
id,11195
app,6007
apply_filters,6001
trans,5387
_e,4011
esc_attr,3665
route,3559
env,3113
do_action,2933
get_option,2847
add_action,2803
t,2682
config,2513
esc_url,2347
idx,2335
current_user_can,2175
esc_html,2147
add_filter,2118
p,2020
phutil_tag,1966
is_wp_error,1855
WC,1847
assertType,1709
response,1678
collect,1512
esc_html_e,1494
it,1477
lang,1438
esc_html__,1436
in,1405
_x,1403
expect,1397
redirect,1361
data_get,1360
wp_unslash,1329
update_option,1323
qsprintf,1302
str,1285
wp_die,1243
mpull,1199
absint,1162
auth,1079
add_query_arg,1049
view,1032
_t,1028
h,925
request,917
admin_url,915
get_post,909
_deprecated_function,829
core,827
test,786
ws,773
service,764
wp_set_current_user,757
mysql_query,728
sr,705
fake,699
e,673
session,662
get,634
is_multisite,630
esc_attr_e,614
now,571
wp_parse_args,569
wp_json_encode,510
wp_kses_post,510
remove_filter,480
wp_enqueue_script,473
get_current_screen,472
wc_clean,460
postJson,449
queryfx,440
get_post_meta,428
home_url,427
head,426
idf_escape,406
wp_send_json_error,399
assert_instances_of,394
rest_ensure_response,392
ex,386
task,383
wp_redirect,380
exe,380
dataDir,380
wc_get_container,375
rest_url,372
_n,368
get_current_user_id,368
trailingslashit,367
mysql_error,367
sanitize_text_field,360
get_template_directory_uri,359
get_bloginfo,357
q,353
get_site_option,351
get_permalink,350
wc_get_product,349
set,344
wc_deprecated_function,344
tap,340
mm,340
esc_html_x,339
array_fuse,334
html_n,333
wp_create_nonce,331
filled,331
desc,326
esc_attr__,319
run,319
sanitize_title,314
register_rest_route,312
javelin_tag,312
check_admin_referer,311
wc_get_order,311
_doing_it_wrong,310
wc_format_decimal,310
current_theme_supports,308
base_path,307
get_post_type_object,298
wp_nonce_url,294
get_query_var,294
number_format_i18n,289
makehide,281
table,280
storage_path,278
yourls_apply_filter,276
mysql_fetch_array,276
event,275
queries,275
checked,273
add_theme_support,268
is_admin,267
delete_option,265
ss,262
rest_authorization_required_code,259
mock,259
handleError,257
wp_nonce_field,253
log_message,253
url,250
livewire,249
wp_list_pluck,246
tsprintf,246
wp_enqueue_style,244
abstract_arg,242
mysql_connect,241
yourls__,241
remove_query_arg,239
self_admin_url,239
require_celerity_resource,237
submit_button,236
showSecParam,233
cart,231
mysql_select_db,228
wp_cache_get,227
update_post_meta,224
selected,214
rand_str,214
have_posts,209
did_action,209
get_template_part,208
trigger_deprecation,208
rest_is_field_included,208
get_theme_support,207
instant_remote_process,207
public_path,206
today,204
remove_action,204
check_ajax_referer,204
esc_js,201
get_the_title,200
get_post_type,199
get_userdata,197
blank,197
current_time,195
hsprintf,192
network_admin_url,187
which,187
wp_cache_set,186
support,186
admin_trans,186
get_comment,185
wp_safe_redirect,184
post_type_supports,182
verify,182
eregi,182
the_title,181
get_term,175
wp_slash,174
array_select_keys,174
get_taxonomy,173
trans_key,173
wp_cache_delete,172
div,171
get_transient,170
is_user_logged_in,170
ipull,170
update_user_meta,169
the_ID,169
wp_admin_notice,169
wc_price,165
wp_kses,163
outputDir,163
phutil_count,163
set_transient,162
sanitize_key,162
queryfx_all,162
get_theme_mod,161
ereg,157
wp_get_theme,156
wc,156
create_user,155
celerity_generate_unique_node_id,155
m,154
comments_open,153
param,151
wp_strip_all_tags,149
setting,149
untrailingslashit,148
get_current_blog_id,148
value,147
makeinput,147
html_safe,147
nonempty,147
cs,146
date_i18n,144
_deprecated_argument,144
wc_get_template,143
is_singular,142
get_the_author_meta,141
get_terms,140
class_basename,140
wc_help_tip,140
phabricator_datetime,140
cp,139
execute,139
__d,139
_ex,138
mysql2date,138
wp_send_json_success,138
the_post,138
get_user_by,137
wc_rest_prepare_date_response,137
esc_url_raw,136
get_term_by,136
notif,136
plugins_url,135
urisprintf,135
get_comments_number,134
get_header,133
get_footer,133
get_template_directory,133
mysql_close,133
get_rows,133
remove_all_filters,132
dvwaExternalLinkUrlGet,132
bloginfo,130
wsoSecParam,129
delete_transient,126
get_magic_quotes_gpc,126
data_set,126
is_single,125
get_user_meta,124
"React\Promise\resolve",121
yourls_do_action,121
rest_get_server,121
cf,121
phutil_units,121
mysql_num_rows,119
wc_get_page_id,119
mysql_fetch_row,118
site_url,117
each,117
is_network_admin,116
wc_get_price_decimals,116
print_unescaped,116
wp_get_referer,115
get_sidebar,115
wc_get_orders,115
html_select,115
wp_verify_nonce,113
wp_basename,113
post_password_required,113
last,111
wp_get_current_user,110
wc_add_notice,110
mgroup,110
fail,109
mysql_free_result,108
get_site_transient,107
wp_get_attachment_url,107
post_class,107
output,107
get_post_types,106
wc_string_to_bool,106
taxonomy_exists,105
phutil_json_decode,104
update_site_option,103
set_url_scheme,103
wp_remote_retrieve_body,103
currentTeam,103
abort,102
wp_parse_url,102
sanitize_html_class,101
config_item,101
wp_update_post,100
the_content,100
inp,100
wp_parse_id_list,99
edit_post_link,99
mysql_fetch_assoc,99
hardFooter,99
secparam,98
user,98
wp_installing,97
hss,96
esc_sql,95
get_instance,95
formhead,95
restore_current_blog,94
get_locale,94
get_stylesheet,94
up_down,94
PclZipUtilOptionText,93
mssql_query,93
phutil_implode_html,93
wxr_cdata,92
mysql_num_fields,92
optional,91
has_filter,91
wp_delete_post,91
apply_filters_ref_array,91
is_ssl,90
get_the_date,90
wp_link_pages,90
wc_get_logger,90
script,90
wp_localize_script,89
is_rtl,89
wp_insert_term,89
get_the_ID,89
get_post_format,89
is_active_sidebar,89
phutil_tag_div,89
get_block_wrapper_attributes,88
File_Str,88
phid_get_type,88
switch_to_blog,87
is_super_admin,87
page_header,87
alert,87
is_plugin_active,86
yourls_e,86
get_object_taxonomies,85
is_home,85
hardHeader,85
putJson,85
sanitize_url,84
DxURL,84
bouncer,84
get_user_option,83
wp_generate_password,83
wp_specialchars_decode,83
user_trailingslashit,83
is_tax,83
is_front_page,83
Info_Fun,83
is_search,82
myshellexec,82
store,82
executeInDocker,82
msort,82
wp_register_script,81
wptexturize,79
has_action,79
wp_get_attachment_metadata,79
queryfx_one,79
phutil_utf8_strtolower,79
html_input,78
get_edit_post_link,77
wpautop,77
div_title,77
prototype,77
is_email,76
get_queried_object,76
phutil_nonempty_string,76
register_block_pattern,75
wsoFooter,75
html_a,75
do_action_ref_array,74
set_theme_mod,74
app_path,74
report,74
wc_get_page_permalink,74
wc_wp_theme_get_element_class_name,74
register_block_type_from_metadata,74
ambilkata,74
formfoot,74
wp_remote_retrieve_response_code,73
get_posts,73
get_the_author,73
writeln,73
envNonEmpty,73
confirm,73
error,72
set_magic_quotes_runtime,72
wp_add_inline_script,72
getmicrotime,72
add_meta_box,71
delete_post_meta,71
checkbox,71
wsoEx,71
getcfg,71
test_path,70
esc_textarea,70
wc_stock_amount,70
bloginfo_rss,69
get_plugins,69
get_avatar,69
wc_get_products,69
wp_cache_add,68
view_size,68
wp_login_url,67
_get_list_table,67
_n_noop,67
phlog,67
get_post_status,66
add_option,66
wp_normalize_path,66
artisan,66
show_error,66
getTeamIdFromToken,66
phutil_get_library_root,66
uses,65
invalidTokenResponse,65
wp_get_object_terms,64
yourls_add_filter,64
get_user_locale,64
wc_doing_it_wrong,64
wp_insert_post,63
wp_get_attachment_image_src,63
wsoHeader,63
resource_path,62
decrypt,62
select,62
is_page,62
the_permalink,62
perms,62
phutil_json_encode,62
wp_is_mobile,61
maybe_unserialize,61
wp_add_inline_style,61
data_forget,61
is_main_site,60
wc_rest_check_manager_permissions,60
array_mergev,60
wp_mail,59
get_term_link,59
get_attached_file,59
get_search_form,59
yourls_get_db,59
describe,59
wp_get_update_php_url,59
WSOsetcookie,59
bg,59
is_taxonomy_hierarchical,58
esc_attr_x,58
mysql_field_name,58
newv,58
is_subdomain_install,57
get_home_url,57
get_author_posts_url,57
woocommerce_register_additional_checkout_field,57
_wp_array_get,57
queries_redirect,57
isDev,57
switch_theme,56
comments_popup_link,56
apcu_fetch,56
clearspace,56
get_search_query,55
is_attachment,55
get_stylesheet_directory,55
with,55
DxError,55
wp_upload_dir,54
set_query_var,54
wc_current_theme_is_fse_theme,54
