ID,Name,Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
13491895,EbookFoundation/free-programming-books,351084,62858,19403,HTML,main,"books, education, hacktoberfest, list, resource",84,"Creative Commons Attribution 4.0 International",https://github.com/EbookFoundation/free-programming-books,https://github.com/EbookFoundation,https://ebookfoundation.github.io/free-programming-books/,2013-10-11T06:50:37Z,2025-02-25T01:01:30Z
343965132,microsoft/ML-For-Beginners,71205,15126,748977,HTML,main,"data-science, education, machine-learning, machine-learning-algorithms, machinelearning, machinelearning-python, microsoft-for-beginners, ml, python, r, scikit-learn, scikit-learn-python",5,"MIT License",https://github.com/microsoft/ML-For-Beginners,https://github.com/microsoft,https://microsoft.github.io/ML-For-Beginners/,2021-03-03T01:34:05Z,2025-02-25T00:53:16Z
419347358,PKUFlyingPig/cs-self-learning,60581,7095,60303,HTML,master,,116,"MIT License",https://github.com/PKUFlyingPig/cs-self-learning,https://github.com/PKUFlyingPig,https://csdiy.wiki,2021-10-20T13:43:42Z,2025-02-25T01:29:44Z
892275,square/retrofit,43326,7309,5196,HTML,trunk,"android, java",158,"Apache License 2.0",https://github.com/square/retrofit,https://github.com/square,https://square.github.io/retrofit/,2010-09-06T21:39:43Z,2025-02-24T20:37:13Z
119811010,tabler/tabler,38777,4074,350211,HTML,dev,"admin-dashboard, adminpanel, boilerplate-template, bootstrap, bootstrap4-theme, bootstrap5, css, dashboard, dashboard-templates, dashboards, html, html5, jekyll, modular, sass, scss, sponsors, themes, ui-kit, uikit",57,"MIT License",https://github.com/tabler/tabler,https://github.com/tabler,https://tabler.io,2018-02-01T09:08:59Z,2025-02-24T23:39:44Z
240215314,docker/awesome-compose,37559,7050,7885,HTML,master,"awesome, awesome-list, docker-compose",256,"Creative Commons Zero v1.0 Universal",https://github.com/docker/awesome-compose,https://github.com/docker,https://docs.docker.com/compose/,2020-02-13T08:51:42Z,2025-02-25T00:18:25Z
678083094,opentofu/manifesto,36127,1083,1818,HTML,main,,22,"Apache License 2.0",https://github.com/opentofu/manifesto,https://github.com/opentofu,https://opentf.org,2023-08-13T16:17:24Z,2025-02-24T17:26:13Z
29268051,google/material-design-lite,32294,5013,56968,HTML,mdl-1.x,"material, material-components, material-design, material-design-lite, mdl",420,"Apache License 2.0",https://github.com/google/material-design-lite,https://github.com/google,https://getmdl.io,2015-01-14T22:01:33Z,2025-02-24T19:01:51Z
224663696,alpinejs/alpine,29109,1271,9031,HTML,main,,32,"MIT License",https://github.com/alpinejs/alpine,https://github.com/alpinejs,https://alpinejs.dev,2019-11-28T13:51:55Z,2025-02-25T01:53:45Z
75867720,wesbos/JavaScript30,28134,38826,46985,HTML,master,,58,,https://github.com/wesbos/JavaScript30,https://github.com/wesbos,https://JavaScript30.com,2016-12-07T19:15:31Z,2025-02-24T15:50:23Z
12044132,bitcoinbook/bitcoinbook,24079,6059,62974,HTML,develop,"bitcoin, bitcoin-api, blockchain, oreilly, oreilly-books",176,Other,https://github.com/bitcoinbook/bitcoinbook,https://github.com/bitcoinbook,https://aantonop.com/books,2013-08-11T23:18:28Z,2025-02-24T19:38:01Z
93253246,javascript-tutorial/en.javascript.info,24019,3902,773376,HTML,master,"english, javascript, tutorial",432,Other,https://github.com/javascript-tutorial/en.javascript.info,https://github.com/javascript-tutorial,https://javascript.info,2017-06-03T14:27:57Z,2025-02-24T18:18:15Z
513217098,WeNeedHome/SummaryOfLoanSuspension,20731,2173,193948,HTML,main,,127,,https://github.com/WeNeedHome/SummaryOfLoanSuspension,https://github.com/WeNeedHome,,2022-07-12T16:33:25Z,2025-02-24T18:22:09Z
425159471,dibingfa/flash-linux0.11-talk,20660,2768,184310,HTML,main,,52,,https://github.com/dibingfa/flash-linux0.11-talk,https://github.com/dibingfa,,2021-11-06T04:58:25Z,2025-02-24T16:18:28Z
131582572,davideuler/architecture.of.internet-product,20208,4681,845499,HTML,master,"architecture, architecture-guidelines, architecture-of-internet-product, chatgpt, dall-e-3, gpt, gpt-4, internet-architecutre, llm, sora",3,,https://github.com/davideuler/architecture.of.internet-product,https://github.com/davideuler,,2018-04-30T10:25:31Z,2025-02-24T21:17:17Z
76342242,rough-stuff/rough,20129,626,6173,HTML,master,"canvas, draw, graphics, html5-canvas, svg, svg-path",38,"MIT License",https://github.com/rough-stuff/rough,https://github.com/rough-stuff,http://roughjs.com,2016-12-13T09:12:55Z,2025-02-24T17:57:48Z
46342224,TeamStuQ/skill-map,20022,4337,33969,HTML,master,"programmer, skillmap, stuq",78,,https://github.com/TeamStuQ/skill-map,https://github.com/TeamStuQ,https://github.com/TeamStuQ/skill-map,2015-11-17T11:17:38Z,2025-02-24T15:53:17Z
3428345,ftlabs/fastclick,18629,3213,322,HTML,main,,279,"MIT License",https://github.com/ftlabs/fastclick,https://github.com/ftlabs,,2012-02-13T08:38:00Z,2025-02-21T11:33:37Z
30675533,google/fonts,18563,2681,2497030,HTML,main,,1293,,https://github.com/google/fonts,https://github.com/google,https://fonts.google.com,2015-02-11T23:34:54Z,2025-02-24T15:00:11Z
18511024,google/web-starter-kit,18396,2996,10100,HTML,master,,75,"Apache License 2.0",https://github.com/google/web-starter-kit,https://github.com/google,http://developers.google.com/web/starter-kit,2014-04-07T08:45:18Z,2025-02-24T13:00:26Z
67487554,nndl/nndl.github.io,18014,3620,672598,HTML,master,,83,,https://github.com/nndl/nndl.github.io,https://github.com/nndl,https://nndl.github.io,2016-09-06T08:09:06Z,2025-02-25T01:19:05Z
380961,desandro/masonry,16530,2100,1479,HTML,master,,85,,https://github.com/desandro/masonry,https://github.com/desandro,https://masonry.desandro.com,2009-11-21T21:04:56Z,2025-02-24T19:52:33Z
39575101,phil-opp/blog_os,16192,1123,18837,HTML,main,"kernel, operating-system, rust, x86-64",84,"Apache License 2.0",https://github.com/phil-opp/blog_os,https://github.com/phil-opp,http://os.phil-opp.com,2015-07-23T15:23:54Z,2025-02-24T16:21:04Z
74809720,Chuyu-Team/Dism-Multi-language,15986,1055,8806,HTML,master,,281,"MIT License",https://github.com/Chuyu-Team/Dism-Multi-language,https://github.com/Chuyu-Team,,2016-11-26T06:45:37Z,2025-02-25T01:11:43Z
82285884,jeromeetienne/AR.js,15807,2223,327340,HTML,master,"a-frame, three-js, webar",20,"MIT License",https://github.com/jeromeetienne/AR.js,https://github.com/jeromeetienne,,2017-02-17T10:27:59Z,2025-02-21T11:59:35Z
