ID,Name,Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
126577260,trekhleb/javascript-algorithms,190210,30497,13564,JavaScript,master,"algorithm, algorithms, computer-science, data-structures, interview, interview-preparation, javascript, javascript-algorithms",357,"MIT License",https://github.com/trekhleb/javascript-algorithms,https://github.com/trekhleb,,2018-03-24T07:47:04Z,2025-02-25T01:49:37Z
2126244,twbs/bootstrap,171621,79022,253962,JavaScript,main,"bootstrap, css, css-framework, html, javascript, sass, scss",676,"MIT License",https://github.com/twbs/bootstrap,https://github.com/twbs,https://getbootstrap.com,2011-07-29T21:19:00Z,2025-02-25T01:13:09Z
23088740,axios/axios,106365,11011,17172,JavaScript,v1.x,"hacktoberfest, http-client, javascript, nodejs, promise",667,"MIT License",https://github.com/axios/axios,https://github.com/axios,https://axios-http.com,2014-08-18T22:30:27Z,2025-02-25T01:08:14Z
3470471,FortAwesome/Font-Awesome,74690,12199,132252,JavaScript,6.x,"css, font, fontawesome, icons, svg-icons, svg-sprites, webfont",4123,Other,https://github.com/FortAwesome/Font-Awesome,https://github.com/FortAwesome,https://fontawesome.com,2012-02-17T14:19:43Z,2025-02-25T00:52:17Z
278335273,anuraghazra/github-readme-stats,71619,23898,5913,JavaScript,master,"dynamic, hacktoberfest, profile-readme, readme-generator, readme-stats, serverless",388,"MIT License",https://github.com/anuraghazra/github-readme-stats,https://github.com/anuraghazra,https://github-readme-stats.vercel.app,2020-07-09T10:34:22Z,2025-02-24T22:23:50Z
3678731,webpack/webpack,65061,8952,67164,JavaScript,main,"amd, build-tool, commonjs, compiler, es2015, es6, esm, javascript, javascript-compiler, javascript-modules, loaders, module-bundler, plugins, web, web-performance, webpack",234,"MIT License",https://github.com/webpack/webpack,https://github.com/webpack,https://webpack.js.org,2012-03-10T10:08:14Z,2025-02-25T01:21:03Z
147350463,leonardomso/33-js-concepts,64701,9059,1512,JavaScript,master,"angular, concepts, es6, es6-javascript, hacktoberfest, javascript, javascript-closures, javascript-engines, javascript-programming, nodejs, primitive-types, programming, react",83,"MIT License",https://github.com/leonardomso/33-js-concepts,https://github.com/leonardomso,,2018-09-04T13:27:04Z,2025-02-25T00:28:44Z
460078,angular/angular.js,58758,27434,101796,JavaScript,master,,463,"MIT License",https://github.com/angular/angular.js,https://github.com/angular,https://angularjs.org,2010-01-06T00:34:37Z,2025-02-24T16:03:02Z
138839979,scutan90/DeepLearning-500-questions,55438,15939,207074,JavaScript,master,,120,"GNU General Public License v3.0",https://github.com/scutan90/DeepLearning-500-questions,https://github.com/scutan90,https://github.com/scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,2025-02-24T21:17:20Z
53809090,juliangarnier/anime,50923,3701,49278,JavaScript,master,"animation, anime, canvas, css, javascript, javascript-library, svg",234,"MIT License",https://github.com/juliangarnier/anime,https://github.com/juliangarnier,https://animejs.com,2016-03-13T21:37:45Z,2025-02-24T23:50:33Z
