ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
3482588,SecLists,danielmiessler/SecLists,60964,24149,1974688,PHP,master,,2,"MIT License",https://github.com/danielmiessler/SecLists,https://github.com/danielmiessler,https://www.owasp.org/index.php/OWASP_Internet_of_Things_Project,2012-02-19T01:30:18Z,2025-02-25T02:40:28Z
332880689,coolify,coollabsio/coolify,37687,2192,37555,PHP,main,"analytics, couchdb, databases, docker, minio, mongodb, mysql, mysql-database, nextjs, nodejs, php, postgresql, reactjs, redis, self-hosting, static, svelte, vscode, vuejs",429,"Apache License 2.0",https://github.com/coollabsio/coolify,https://github.com/coollabsio,https://coolify.io,2021-01-25T20:54:01Z,2025-02-25T02:49:09Z
7548986,framework,laravel/framework,33196,11233,87393,PHP,12.x,"framework, laravel, php",51,"MIT License",https://github.com/laravel/framework,https://github.com/laravel,https://laravel.com,2013-01-10T21:27:28Z,2025-02-25T03:09:50Z
1129010,jQuery-File-Upload,blueimp/jQuery-File-Upload,30947,7918,4767,PHP,master,,52,"MIT License",https://github.com/blueimp/jQuery-File-Upload,https://github.com/blueimp,https://blueimp.github.io/jQuery-File-Upload/,2010-12-01T15:35:32Z,2025-02-24T21:24:25Z
458058,symfony,symfony/symfony,30060,9562,292141,PHP,7.3,"bundle, framework, hacktoberfest, php, php-framework, symfony, symfony-bundle",825,"MIT License",https://github.com/symfony/symfony,https://github.com/symfony,https://symfony.com,2010-01-04T14:21:21Z,2025-02-24T19:51:16Z
1864363,composer,composer/composer,28836,4596,27769,PHP,main,"composer, dependency-manager, package-manager, packages, php",126,"MIT License",https://github.com/composer/composer,https://github.com/composer,https://getcomposer.org/,2011-06-08T08:53:00Z,2025-02-25T02:14:47Z
60243197,server,nextcloud/server,28685,4189,5006115,PHP,master,"cloud, collaboration, decentralized, design, distributed, enterprise, federation, file-sharing, free-software, hacktoberfest, javascript, nextcloud, open-source, opensource, owncloud, php, self-hosting, sharing, usability, ux",2543,"GNU Affero General Public License v3.0",https://github.com/nextcloud/server,https://github.com/nextcloud,https://nextcloud.com,2016-06-02T07:44:14Z,2025-02-25T02:42:19Z
2579314,Faker,fzaninotto/Faker,26798,3584,10094,PHP,master,,228,"MIT License",https://github.com/fzaninotto/Faker,https://github.com/fzaninotto,,2011-10-14T22:49:02Z,2025-02-25T02:16:59Z
1420053,guzzle,guzzle/guzzle,23327,2398,10107,PHP,7.9,"curl, guzzle, http-client, httpclient, php, psr-7, requests, webservices",45,"MIT License",https://github.com/guzzle/guzzle,https://github.com/guzzle,https://docs.guzzlephp.org/,2011-02-28T02:44:05Z,2025-02-25T02:36:22Z
170355508,livewire,livewire/livewire,22681,1602,20575,PHP,main,,53,"MIT License",https://github.com/livewire/livewire,https://github.com/livewire,,2019-02-12T16:53:29Z,2025-02-24T20:39:26Z
82238168,monica,monicahq/monica,22253,2218,152401,PHP,main,"crm, family, friends, hacktoberfest, laravel, php, prm, social",713,"GNU Affero General Public License v3.0",https://github.com/monicahq/monica,https://github.com/monicahq,https://beta.monicahq.com,2017-02-17T00:02:58Z,2025-02-24T12:31:41Z
2246815,DesignPatternsPHP,DesignPatternsPHP/DesignPatternsPHP,22093,4578,6214,PHP,main,"code-examples, design-pattern, design-patterns, designpatternsphp, modern-php, oop, php, php8, phpunit",0,"MIT License",https://github.com/DesignPatternsPHP/DesignPatternsPHP,https://github.com/DesignPatternsPHP,,2011-08-22T05:24:31Z,2025-02-25T02:51:34Z
248372441,filament,filamentphp/filament,21653,3232,422669,PHP,3.x,"admin, alpine-js, builder, cms, forms, laravel, laravel-admin-panel, livewire, tables, tailwind-css, tall-stack",196,"MIT License",https://github.com/filamentphp/filament,https://github.com/filamentphp,https://filamentphp.com,2020-03-19T00:19:18Z,2025-02-25T00:55:55Z
2253830,PHPMailer,PHPMailer/PHPMailer,21274,9761,21411,PHP,master,"attachment, email, hacktoberfest, php, php-library, phpmailer, smtp, tls-support, xoauth2",49,"GNU Lesser General Public License v2.1",https://github.com/PHPMailer/PHPMailer,https://github.com/PHPMailer,,2011-08-23T07:57:17Z,2025-02-24T22:50:16Z
1376664,monolog,Seldaek/monolog,21155,1904,4889,PHP,main,"hacktoberfest, logger, logging, php, psr-3",34,"MIT License",https://github.com/Seldaek/monolog,https://github.com/Seldaek,https://seldaek.github.io/monolog/,2011-02-17T02:07:15Z,2025-02-24T21:31:31Z
1548202,matomo,matomo-org/matomo,20245,2690,307302,PHP,5.x-dev,"analytics, growth, hacktoberfest, intranet, log, marketing, matomo, mobile, mysql, php, piwik, privacy, security, web-analytics, website",2491,"GNU General Public License v3.0",https://github.com/matomo-org/matomo,https://github.com/matomo-org,https://matomo.org/,2011-03-30T21:18:17Z,2025-02-24T19:35:46Z
2889328,WordPress,WordPress/WordPress,19906,12722,535805,PHP,master,,2,Other,https://github.com/WordPress/WordPress,https://github.com/WordPress,https://wordpress.org,2011-12-01T07:05:17Z,2025-02-24T13:44:22Z
