ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
1863329,laravel,laravel/laravel,79974,24198,10833,Blade,12.x,"framework, laravel, php",31,,https://github.com/laravel/laravel,https://github.com/laravel,https://laravel.com,2011-06-08T03:06:08Z,2025-02-26T06:55:47Z
374132359,laravel-crm,krayin/laravel-crm,13139,943,44168,Blade,2.0,"crm, crm-platform, hacktoberfest, laravel, laravel-application, laravel-crm, laravel-framework, laravel-package, opensource, opensource-crm, opensource-crm-framework, php, vue, vuejs",56,"MIT License",https://github.com/krayin/laravel-crm,https://github.com/krayin,https://krayincrm.com,2021-06-05T14:18:48Z,2025-02-26T04:47:55Z
152772568,lsky-pro,lsky-org/lsky-pro,4276,624,39394,Blade,master,"cloud, image-store, images, laravel, lsky, mdui, photo-album, php, picture",152,"GNU General Public License v3.0",https://github.com/lsky-org/lsky-pro,https://github.com/lsky-org,https://www.lsky.pro,2018-10-12T15:36:54Z,2025-02-26T02:59:20Z
258773185,tall,laravel-frontend-presets/tall,2538,214,432,Blade,master,"alpinejs, laravel, laravel-frontend-presets, livewire, tailwindcss",6,"MIT License",https://github.com/laravel-frontend-presets/tall,https://github.com/laravel-frontend-presets,,2020-04-25T12:43:46Z,2025-02-26T04:37:28Z
173516460,laravel-mail-editor,Qoraiche/laravel-mail-editor,2092,271,2961,Blade,master,"hacktoberfest, laravel, laravel-mail, laravel-mailable, laravel-package, mail",1,Other,https://github.com/Qoraiche/laravel-mail-editor,https://github.com/Qoraiche,,2019-03-03T01:07:08Z,2025-02-20T00:28:00Z
217758926,laravel-notify,mckenziearts/laravel-notify,1665,196,2276,Blade,2.x,"flash-messages, laravel, laravel-package, notifications, toast",16,Other,https://github.com/mckenziearts/laravel-notify,https://github.com/mckenziearts,,2019-10-26T19:26:47Z,2025-02-18T19:11:27Z
22319880,Beautymail,snowfire/Beautymail,1276,210,225,Blade,master,"beautiful-html-emails, email, laravel",0,,https://github.com/snowfire/Beautymail,https://github.com/snowfire,,2014-07-27T19:31:12Z,2025-02-25T20:20:44Z
671939002,genesis,thedevdojo/genesis,1231,100,449,Blade,main,,3,"MIT License",https://github.com/thedevdojo/genesis,https://github.com/thedevdojo,,2023-07-28T13:49:13Z,2025-02-25T23:49:01Z
109095871,tailwindcss,laravel-frontend-presets/tailwindcss,1151,139,1425,Blade,main,"laravel, preset, tailwind, tailwind-scaffolding, tailwindcss",3,"MIT License",https://github.com/laravel-frontend-presets/tailwindcss,https://github.com/laravel-frontend-presets,https://laravel-frontend-presets.github.io/tailwindcss/,2017-11-01T06:32:49Z,2025-02-11T21:33:40Z
51686662,school-management-system,hrshadhin/school-management-system,984,866,36317,Blade,master,"admission, cloudschool, college, college-management, education, exam, hostel, hostel-management-system, leave-management, library, library-management-system, marksheet, result, school-fee-payments, school-management, school-mangers, school-project, school-systems, sms, students",6,"GNU Affero General Public License v3.0",https://github.com/hrshadhin/school-management-system,https://github.com/hrshadhin,http://cloudschoolbd.com,2016-02-14T08:31:33Z,2025-02-24T08:51:58Z
278513833,Complete-Ecommerce-in-laravel-10,Prajwal100/Complete-Ecommerce-in-laravel-10,885,512,60802,Blade,master,"advance-ecommerce-project, e-commerce, ecommerce, laravel, laravel-framework, mysql, online-shop, php, shop, shopping, shopping-cart",21,"MIT License",https://github.com/Prajwal100/Complete-Ecommerce-in-laravel-10,https://github.com/Prajwal100,https://ketramart.com,2020-07-10T01:57:27Z,2025-02-18T04:26:32Z
386665143,triangle-pos,FahimAnzamDip/triangle-pos,685,220,3883,Blade,main,"bootstrap4, business-solutions, easy-to-use, free-software, inventory-management-system, laravel, laravel10, livewire3, open-source, php8, pos",17,,https://github.com/FahimAnzamDip/triangle-pos,https://github.com/FahimAnzamDip,,2021-07-16T14:28:58Z,2025-02-25T05:48:21Z
66643888,pretty-routes,garygreen/pretty-routes,657,76,182,Blade,master,laravel-5-package,15,,https://github.com/garygreen/pretty-routes,https://github.com/garygreen,,2016-08-26T11:53:05Z,2025-01-14T11:19:51Z
212084682,coreui-free-laravel-admin-template,coreui/coreui-free-laravel-admin-template,648,360,3739,Blade,master,"admin, admin-dashboard, admin-panel, admin-template, admin-ui, coreui, coreui-laravel, dashboard, laravel, laravel-admin, laravel-admin-panel, laravel-application, laravel-dashboard, laravel-framework, ui, ui-components",68,"MIT License",https://github.com/coreui/coreui-free-laravel-admin-template,https://github.com/coreui,https://coreui.io/laravel/,2019-10-01T11:59:08Z,2025-02-22T00:55:08Z
272465372,dashboard,tailwindcomponents/dashboard,631,122,857,Blade,master,"tailwindcomponents, tailwindcss, uikit",1,"MIT License",https://github.com/tailwindcomponents/dashboard,https://github.com/tailwindcomponents,https://tailwindcomponents.com/component/dashboard-template,2020-06-15T14:46:26Z,2025-02-15T15:42:38Z
857775630,flux,livewire/flux,626,50,817,Blade,main,,29,,https://github.com/livewire/flux,https://github.com/livewire,https://fluxui.dev,2024-09-15T15:27:02Z,2025-02-26T05:10:56Z
175420622,laravel.com,laravel/laravel.com,618,566,109043,Blade,master,,2,,https://github.com/laravel/laravel.com,https://github.com/laravel,https://laravel.com,2019-03-13T12:53:32Z,2025-02-24T00:21:39Z
480158212,bladewind,mkocansey/bladewind,583,57,2149,Blade,main,"blade, css, hacktoberfest, html, javascript, laravel, laravel-package, php, tailwindcss, ui, ui-components, ui-design, ui-library",16,"MIT License",https://github.com/mkocansey/bladewind,https://github.com/mkocansey,https://bladewindui.com,2022-04-10T22:43:57Z,2025-02-24T07:29:52Z
787509773,auth,thedevdojo/auth,581,49,1136,Blade,main,"auth, authentication, laravel, login, register, users",20,"MIT License",https://github.com/thedevdojo/auth,https://github.com/thedevdojo,https://devdojo.com/auth,2024-04-16T16:55:23Z,2025-02-26T01:55:46Z
152269023,ecommerce-open-api,guojiangclub/ecommerce-open-api,575,170,6073,Blade,master,"api, ecommerce, ibrand, ibrand-ecommerce, laravel, laravel-ecommerce, opensource, php, shopping, shopping-cart",14,"MIT License",https://github.com/guojiangclub/ecommerce-open-api,https://github.com/guojiangclub,https://guojiang.club,2018-10-09T14:46:56Z,2025-02-11T14:52:37Z
90845873,laravel-report-generator,Jimmy-JS/laravel-report-generator,574,154,358,Blade,master,"csv, excel, excelgenerator, laravel, pdf, pdf-report, report",6,"MIT License",https://github.com/Jimmy-JS/laravel-report-generator,https://github.com/Jimmy-JS,https://packagist.org/packages/jimmyjs/laravel-report-generator,2017-05-10T09:23:57Z,2025-02-04T03:51:14Z
485385607,sneat-bootstrap-html-laravel-admin-template-free,themeselection/sneat-bootstrap-html-laravel-admin-template-free,440,185,3037,Blade,main,"admin-dashboard, admin-panel, admin-panel-template, admin-panels, bootstrap, free-admin-dashboard, free-admin-template, free-dashboard, laravel, laravel-admin, laravel-admin-panel, laravel-admin-template, laravel-admin-theme, laravel-dashboard, laravel-dashboard-template, laravel-dashboard-theme, laravel-project, laravel-projects, laravel10, laraveladmin",0,"MIT License",https://github.com/themeselection/sneat-bootstrap-html-laravel-admin-template-free,https://github.com/themeselection,https://themeselection.com/item/sneat-free-bootstrap-html-laravel-admin-template/,2022-04-25T13:35:25Z,2025-02-20T01:01:32Z
390730437,Bob-Theme-Argon,BobCoderS9/Bob-Theme-Argon,438,117,4277,Blade,master,,19,"MIT License",https://github.com/BobCoderS9/Bob-Theme-Argon,https://github.com/BobCoderS9,,2021-07-29T13:18:53Z,2025-02-24T05:26:14Z
83162309,laravel-users,jeremykenedy/laravel-users,437,118,189,Blade,master,"laravel-user-management, laravel-users, manage-laravel-users, manage-users, register-users, users, users-management",0,"MIT License",https://github.com/jeremykenedy/laravel-users,https://github.com/jeremykenedy,,2017-02-25T20:58:45Z,2025-02-09T17:29:42Z
32417400,envoy-deploy,papertank/envoy-deploy,425,86,59,Blade,master,laravel-envoy,0,"MIT License",https://github.com/papertank/envoy-deploy,https://github.com/papertank,,2015-03-17T20:08:53Z,2025-02-18T14:46:16Z
52485545,laravel-api,joselfonseca/laravel-api,424,117,16206,Blade,develop,"aglio, api, composer, laravel-api, passport",1,"MIT License",https://github.com/joselfonseca/laravel-api,https://github.com/joselfonseca,,2016-02-25T00:51:03Z,2025-02-07T12:57:25Z
267368883,laravel-tailwind-css-dashboard-preset,Miaababikir/laravel-tailwind-css-dashboard-preset,363,55,4065,Blade,master,,2,,https://github.com/Miaababikir/laravel-tailwind-css-dashboard-preset,https://github.com/Miaababikir,,2020-05-27T16:19:46Z,2025-02-18T09:58:12Z
179155541,laravel-sb-admin-2,aleckrh/laravel-sb-admin-2,357,134,5998,Blade,main,"dashboard, free, laravel, sb-admin-2, template",0,"MIT License",https://github.com/aleckrh/laravel-sb-admin-2,https://github.com/aleckrh,,2019-04-02T20:42:50Z,2025-02-24T16:18:09Z
545752823,myStockMaster,Zakarialabib/myStockMaster,353,132,12258,Blade,master,"alpinejs, crm, erp, inventory, laravel, livewire, php, tailwind, tailwindcss",9,"MIT License",https://github.com/Zakarialabib/myStockMaster,https://github.com/Zakarialabib,,2022-10-04T23:21:49Z,2025-02-26T04:15:15Z
515977136,laravel-tailwindcss-admin-dashboard-template,cruip/laravel-tailwindcss-admin-dashboard-template,353,130,598,Blade,main,"admin-dashboard, admin-template, chartjs, dashboard, jetstream, laravel, livewire, tailwindcss, template",4,,https://github.com/cruip/laravel-tailwindcss-admin-dashboard-template,https://github.com/cruip,https://cruip.com/,2022-07-20T12:41:08Z,2025-02-24T23:52:42Z
366322410,volt-laravel-dashboard,themesberg/volt-laravel-dashboard,326,78,18472,Blade,master,"alpine-js, bootstrap, laravel, laravel-admin, laravel-admin-panel, laravel-bootstrap, laravel-crud, laravel-dashboard, livewire",2,"MIT License",https://github.com/themesberg/volt-laravel-dashboard,https://github.com/themesberg,https://themesberg.com/product/laravel/volt-admin-dashboard-template,2021-05-11T09:12:27Z,2025-02-17T09:26:39Z
184703658,firevel,firevel/firevel,309,12,637,Blade,master,,0,,https://github.com/firevel/firevel,https://github.com/firevel,,2019-05-03T05:33:13Z,2025-02-19T15:28:27Z
179525113,docs,livewire/docs,309,221,9905,Blade,2.x,,7,,https://github.com/livewire/docs,https://github.com/livewire,https://docs-lemon-ten-30.vercel.app,2019-04-04T15:25:06Z,2025-02-20T14:56:48Z
296800094,mercator,dbarzin/mercator,306,49,42686,Blade,master,"anssi, assets, assets-management, cartographie, cartography, cmdb, cpe, cve, dora, gdpr, it-management, itil, oiv, security-tools, urbanisation",27,"GNU General Public License v3.0",https://github.com/dbarzin/mercator,https://github.com/dbarzin,,2020-09-19T06:22:13Z,2025-02-25T20:31:50Z
580771431,laravel-smart-ads,5balloons/laravel-smart-ads,305,34,811,Blade,main,"ad-manager, laravel, laravel-package",4,"MIT License",https://github.com/5balloons/laravel-smart-ads,https://github.com/5balloons,,2022-12-21T12:07:47Z,2025-02-06T18:55:47Z
548215633,tablar,takielias/tablar,292,33,2323,Blade,master,"admin-panel, dashboard, laravel, tabler, tabler-icons, tabler-ui, template, vite",13,"MIT License",https://github.com/takielias/tablar,https://github.com/takielias,https://tablar.ebuz.xyz,2022-10-09T05:45:20Z,2025-02-25T11:56:47Z
331182904,my-idlers,cp6/my-idlers,273,35,16482,Blade,main,"crud, hacktoberfest, information, laravel, organization, servers, tool, vps, yabs",20,"MIT License",https://github.com/cp6/my-idlers,https://github.com/cp6,https://demo.myidlers.com,2021-01-20T03:35:04Z,2025-02-20T20:44:35Z
56686132,adminlte-templates,InfyOmLabs/adminlte-templates,270,124,243,Blade,develop,"adminlte, adminlte-templates, adminlte3, hacktoberfest, infyom-generator, infyom-laravel-generator, laravel",2,"MIT License",https://github.com/InfyOmLabs/adminlte-templates,https://github.com/InfyOmLabs,https://infyom.com/open-source/laravelgenerator/docs/8.0/adminlte-templates,2016-04-20T12:46:40Z,2024-12-10T14:37:47Z
172622402,wisteria,overtrue/wisteria,256,39,4946,Blade,master,"docs, docs-generator, laravel, laravel-package, markdown",18,,https://github.com/overtrue/wisteria,https://github.com/overtrue,,2019-02-26T02:28:48Z,2024-12-02T03:33:14Z
