ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
2561582,animate.css,animate-css/animate.css,81350,16227,2002,CSS,main,"animation, css, css-animations, stylesheets",53,Other,https://github.com/animate-css/animate.css,https://github.com/animate-css,https://animate.style/,2011-10-12T10:07:38Z,2025-02-26T05:16:06Z
27574418,nerd-fonts,ryanoasis/nerd-fonts,56517,3704,26332799,CSS,master,"font, font-awesome, fonts, hacktoberfest, icon-font, iconic-fonts, octicons, patched-fonts, patcher, powerline, python, shell, statusline",17,Other,https://github.com/ryanoasis/nerd-fonts,https://github.com/ryanoasis,https://NerdFonts.com,2014-12-05T04:31:17Z,2025-02-26T06:26:45Z
1700621,normalize.css,necolas/normalize.css,52802,10628,379,CSS,master,"css, css-reset, normalize-css",82,"MIT License",https://github.com/necolas/normalize.css,https://github.com/necolas,http://necolas.github.io/normalize.css/,2011-05-04T10:20:25Z,2025-02-26T03:19:07Z
50264296,bulma,jgthms/bulma,49603,3953,115626,CSS,main,"css, css-framework, design, flexbox, html",492,"MIT License",https://github.com/jgthms/bulma,https://github.com/jgthms,https://bulma.io,2016-01-23T23:48:34Z,2025-02-26T00:00:19Z
41058054,CppCoreGuidelines,isocpp/CppCoreGuidelines,43325,5460,26188,CSS,master,,254,Other,https://github.com/isocpp/CppCoreGuidelines,https://github.com/isocpp,http://isocpp.github.io/CppCoreGuidelines/CppCoreGuidelines,2015-08-19T20:22:52Z,2025-02-26T03:31:18Z
313330998,50projects50days,bradtraversy/50projects50days,38297,9381,480,CSS,master,,43,"MIT License",https://github.com/bradtraversy/50projects50days,https://github.com/bradtraversy,,2020-11-16T14:39:01Z,2025-02-26T06:20:42Z
69629434,freecodecamp.cn,FreeCodeCampChina/freecodecamp.cn,37183,1373,30959,CSS,dev,"career, certification, cn-freecodecamp, community, curriculum, d3, education, freecodecamp, javascript, learn-to-code, math, nodejs, nonprofits, react",151,Other,https://github.com/FreeCodeCampChina/freecodecamp.cn,https://github.com/FreeCodeCampChina,https://fcc.asia/,2016-09-30T03:13:43Z,2025-02-25T18:30:06Z
122692377,hangzhou_house_knowledge,houshanren/hangzhou_house_knowledge,26745,5292,868034,CSS,master,"hangzhou, knowledge",104,,https://github.com/houshanren/hangzhou_house_knowledge,https://github.com/houshanren,,2018-02-24T01:54:18Z,2025-02-26T03:00:17Z
508131663,awesome-english-ebooks,hehonghui/awesome-english-ebooks,23190,1844,11476375,CSS,master,"download, ebooks, economist, economist-ebooks, new-yorker, pdf",0,,https://github.com/hehonghui/awesome-english-ebooks,https://github.com/hehonghui,,2022-06-28T02:45:44Z,2025-02-26T06:22:51Z
5362524,source-code-pro,adobe-fonts/source-code-pro,20093,1638,167844,CSS,release,"afdko, fonts, opentype-fonts, otf, ttf-fonts, variable-fonts",83,"SIL Open Font License 1.1",https://github.com/adobe-fonts/source-code-pro,https://github.com/adobe-fonts,https://adobe-fonts.github.io/source-code-pro/,2012-08-09T23:14:02Z,2025-02-26T03:21:16Z
68592809,iCSS,chokcoco/iCSS,19943,2031,635,CSS,master,"css, css3",243,,https://github.com/chokcoco/iCSS,https://github.com/chokcoco,,2016-09-19T09:55:32Z,2025-02-26T03:01:07Z
15150300,SpinKit,tobiasahlin/SpinKit,19370,1806,265,CSS,master,,10,"MIT License",https://github.com/tobiasahlin/SpinKit,https://github.com/tobiasahlin,http://tobiasahlin.com/spinkit/,2013-12-12T23:29:41Z,2025-02-26T05:40:38Z
1685764,Skeleton,dhg/Skeleton,19124,3137,6398,CSS,master,,139,"MIT License",https://github.com/dhg/Skeleton,https://github.com/dhg,http://www.getskeleton.com,2011-04-30T20:04:24Z,2025-02-24T13:21:28Z
122838124,30-seconds-of-css,Chalarangelo/30-seconds-of-css,16106,1012,7124,CSS,master,"css, css-snippets, education, learn-to-code, learning-resources, programming, snippets, snippets-collection",0,"Creative Commons Attribution 4.0 International",https://github.com/Chalarangelo/30-seconds-of-css,https://github.com/Chalarangelo,https://www.30secondsofcode.org/css/p/1,2018-02-25T13:22:25Z,2025-02-24T08:34:16Z
12774825,pace,CodeByZach/pace,15673,1900,1438,CSS,master,"loading-animation, loading-bar, loading-indicator, pace, pace-js, progress-bar",278,"MIT License",https://github.com/CodeByZach/pace,https://github.com/CodeByZach,https://codebyzach.github.io/pace/,2013-09-12T04:24:29Z,2025-02-23T09:01:54Z
5448530,ratchet,twbs/ratchet,14622,1442,16494,CSS,master,"css, html, javascript, ratchet",220,"MIT License",https://github.com/twbs/ratchet,https://github.com/twbs,http://goratchet.com,2012-08-17T05:41:57Z,2025-02-25T14:04:20Z
221892711,pico,picocss/pico,14372,425,8934,CSS,main,"css, css-framework, dark-mode, dark-theme, lightweight, minimal, minimalist, minimalistic, native-html, scss, scss-framework, semantic",97,"MIT License",https://github.com/picocss/pico,https://github.com/picocss,https://picocss.com,2019-11-15T09:42:54Z,2025-02-26T01:52:19Z
1365679,tomorrow-theme,chriskempson/tomorrow-theme,13827,3156,3428,CSS,master,"color-scheme, theme",85,Other,https://github.com/chriskempson/tomorrow-theme,https://github.com/chriskempson,,2011-02-14T15:43:03Z,2025-02-25T11:10:07Z
613075789,dalai,cocktailpeanut/dalai,13091,1408,12240,CSS,main,"ai, llama, llm",338,,https://github.com/cocktailpeanut/dalai,https://github.com/cocktailpeanut,https://cocktailpeanut.github.io/dalai,2023-03-12T20:07:32Z,2025-02-26T02:01:44Z
12512833,solved-by-flexbox,philipwalton/solved-by-flexbox,13000,1006,2029,CSS,master,,38,"MIT License",https://github.com/philipwalton/solved-by-flexbox,https://github.com/philipwalton,https://philipwalton.github.io/solved-by-flexbox/,2013-08-31T23:04:51Z,2025-02-20T09:18:19Z
14106970,tachyons,tachyons-css/tachyons,11656,678,18389,CSS,main,"css, design, design-patterns, design-systems, design-tools, frontend, functional-css, html, responsive",89,"MIT License",https://github.com/tachyons-css/tachyons,https://github.com/tachyons-css,https://tachyons.io,2013-11-04T10:41:59Z,2025-02-25T17:37:00Z
53321815,spectre,picturepan2/spectre,11337,806,6514,CSS,master,"css, css-framework, flexbox, lightweight, modern, responsive-grid, spectre, utilities",194,"MIT License",https://github.com/picturepan2/spectre,https://github.com/picturepan2,https://picturepan2.github.io/spectre/,2016-03-07T11:53:15Z,2025-02-25T16:45:03Z
13099301,flag-icons,lipis/flag-icons,11035,1889,16917,CSS,main,"country, country-flags, css, icon-css, svg",16,"MIT License",https://github.com/lipis/flag-icons,https://github.com/lipis,https://flagicons.lipis.dev,2013-09-25T16:39:58Z,2025-02-25T11:45:00Z
