ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
21540759,awesome-go,avelino/awesome-go,138770,12114,10474,Go,main,"awesome, awesome-list, go, golang, golang-library, hacktoberfest",114,"MIT License",https://github.com/avelino/awesome-go,https://github.com/avelino,https://awesome-go.com,2014-07-06T13:42:15Z,2025-02-26T06:15:09Z
658928958,ollama,ollama/ollama,129521,10575,35083,Go,main,"deepseek, gemma, gemma2, go, golang, llama, llama2, llama3, llava, llm, llms, mistral, ollama, phi3, phi4",1603,"MIT License",https://github.com/ollama/ollama,https://github.com/ollama,https://ollama.com,2023-06-26T19:39:32Z,2025-02-26T06:59:39Z
23096959,go,golang/go,126066,17904,389688,Go,master,"go, golang, language, programming-language",9505,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/golang/go,https://github.com/golang,https://go.dev,2014-08-19T04:33:40Z,2025-02-26T06:03:16Z
20580498,kubernetes,kubernetes/kubernetes,113329,40304,1348053,Go,master,"cncf, containers, go, kubernetes",2593,"Apache License 2.0",https://github.com/kubernetes/kubernetes,https://github.com/kubernetes,https://kubernetes.io,2014-06-06T22:56:04Z,2025-02-26T05:54:18Z
48378947,frp,fatedier/frp,90836,13746,30349,Go,dev,"expose, firewall, frp, go, http-proxy, nat, p2p, proxy, reverse-proxy, tunnel",60,"Apache License 2.0",https://github.com/fatedier/frp,https://github.com/fatedier,,2015-12-21T15:24:59Z,2025-02-26T06:31:19Z
20904437,gin,gin-gonic/gin,80506,8121,3620,Go,master,"framework, gin, go, middleware, performance, router, server",846,"MIT License",https://github.com/gin-gonic/gin,https://github.com/gin-gonic,https://gin-gonic.com/,2014-06-16T23:57:25Z,2025-02-26T06:56:50Z
11180687,hugo,gohugoio/hugo,78294,7693,129683,Go,master,"blog-engine, cms, content-management-system, documentation-tool, go, hugo, static-site-generator",481,"Apache License 2.0",https://github.com/gohugoio/hugo,https://github.com/gohugoio,https://gohugo.io,2013-07-04T15:26:26Z,2025-02-26T06:38:06Z
7691631,moby,moby/moby,69248,18705,228784,Go,master,"containers, docker, go, golang",3532,"Apache License 2.0",https://github.com/moby/moby,https://github.com/moby,https://mobyproject.org/,2013-01-18T18:10:57Z,2025-02-26T04:38:06Z
13807606,fzf,junegunn/fzf,68266,2466,6793,Go,master,"bash, cli, fish, fzf, go, neovim, tmux, unix, vim, zsh",297,"MIT License",https://github.com/junegunn/fzf,https://github.com/junegunn,https://junegunn.github.io/fzf/,2013-10-23T16:04:23Z,2025-02-26T05:57:01Z
14712850,syncthing,syncthing/syncthing,67895,4410,122015,Go,main,"go, p2p, peer-to-peer, synchronization",405,"Mozilla Public License 2.0",https://github.com/syncthing/syncthing,https://github.com/syncthing,https://syncthing.net/,2013-11-26T09:48:21Z,2025-02-26T06:06:57Z
29207621,caddy,caddyserver/caddy,61908,4189,18698,Go,master,"acme, automatic-https, caddy, caddyfile, go, golang, http, http-server, http3, https, privacy, reverse-proxy, security, tls, web-server",163,"Apache License 2.0",https://github.com/caddyserver/caddy,https://github.com/caddyserver,https://caddyserver.com,2015-01-13T19:45:03Z,2025-02-26T06:15:31Z
163883279,act,nektos/act,58022,1469,10083,Go,master,"ci, devops, github-actions, golang",210,"MIT License",https://github.com/nektos/act,https://github.com/nektos,https://nektosact.com,2019-01-02T19:53:43Z,2025-02-26T06:14:30Z
6838921,prometheus,prometheus/prometheus,57415,9382,252806,Go,main,"alerting, graphing, hacktoberfest, metrics, monitoring, prometheus, time-series",721,"Apache License 2.0",https://github.com/prometheus/prometheus,https://github.com/prometheus,https://prometheus.io/,2012-11-24T11:14:12Z,2025-02-26T06:51:27Z
