ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
574523116,awesome-chatgpt-prompts,f/awesome-chatgpt-prompts,120913,16257,1316,HTML,main,"bots, chatbot, chatgpt, chatgpt-api, language",262,"Creative Commons Zero v1.0 Universal",https://github.com/f/awesome-chatgpt-prompts,https://github.com/f,https://prompts.chat,2022-12-05T13:54:13Z,2025-02-26T06:41:18Z
32484381,free-for-dev,ripienaar/free-for-dev,92448,9961,8433,HTML,master,"awesome-list, free-for-developers",13,,https://github.com/ripienaar/free-for-dev,https://github.com/ripienaar,https://free-for.dev/,2015-03-18T21:06:26Z,2025-02-26T06:39:20Z
892275,retrofit,square/retrofit,43332,7310,5199,HTML,trunk,"android, java",158,"Apache License 2.0",https://github.com/square/retrofit,https://github.com/square,https://square.github.io/retrofit/,2010-09-06T21:39:43Z,2025-02-26T06:27:02Z
808144141,FreeDomain,DigitalPlatDev/FreeDomain,41179,929,103,HTML,main,"digitalplat, domain, domain-platform, domainname, domains, free, freedomain",8,"GNU Affero General Public License v3.0",https://github.com/DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev,https://nic.us.kg,2024-05-30T13:23:00Z,2025-02-26T05:36:51Z
888092115,markitdown,microsoft/markitdown,39039,1801,1855,HTML,main,"autogen, autogen-extension, langchain, markdown, microsoft-office, openai, pdf",185,"MIT License",https://github.com/microsoft/markitdown,https://github.com/microsoft,,2024-11-13T19:56:40Z,2025-02-26T06:41:06Z
119811010,tabler,tabler/tabler,38782,4075,350211,HTML,dev,"admin-dashboard, adminpanel, boilerplate-template, bootstrap, bootstrap4-theme, bootstrap5, css, dashboard, dashboard-templates, dashboards, html, html5, jekyll, modular, sass, scss, sponsors, themes, ui-kit, uikit",56,"MIT License",https://github.com/tabler/tabler,https://github.com/tabler,https://tabler.io,2018-02-01T09:08:59Z,2025-02-26T06:46:16Z
62156403,zju-icicles,QSCTech/zju-icicles,37889,9471,5440079,HTML,master,,11,,https://github.com/QSCTech/zju-icicles,https://github.com/QSCTech,https://qsctech.github.io/zju-icicles/,2016-06-28T16:17:32Z,2025-02-26T05:53:08Z
678083094,manifesto,opentofu/manifesto,36128,1083,1818,HTML,main,,22,"Apache License 2.0",https://github.com/opentofu/manifesto,https://github.com/opentofu,https://opentf.org,2023-08-13T16:17:24Z,2025-02-26T06:18:11Z
109484365,Coursera-ML-AndrewNg-Notes,fengdu78/Coursera-ML-AndrewNg-Notes,33011,10776,684224,HTML,master,"coursera, machine-learning",67,,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes,https://github.com/fengdu78,,2017-11-04T10:04:08Z,2025-02-26T04:19:37Z
2573058,foundation-sites,foundation/foundation-sites,29720,5471,126117,HTML,develop,,59,"MIT License",https://github.com/foundation/foundation-sites,https://github.com/foundation,https://get.foundation,2011-10-13T23:05:42Z,2025-02-25T23:10:21Z
