ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
28457823,freeCodeCamp,freeCodeCamp/freeCodeCamp,410476,39041,489088,TypeScript,main,"careers, certification, community, curriculum, d3, education, freecodecamp, hacktoberfest, javascript, learn-to-code, math, nodejs, nonprofits, programming, react, teachers",253,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp,https://contribute.freecodecamp.org,2014-12-24T17:49:19Z,2025-02-26T05:57:30Z
85077558,developer-roadmap,kamranahmedse/developer-roadmap,309097,40392,252159,TypeScript,master,"angular-roadmap, backend-roadmap, blockchain-roadmap, computer-science, dba-roadmap, developer-roadmap, devops-roadmap, frontend-roadmap, go-roadmap, java-roadmap, javascript-roadmap, nodejs-roadmap, python-roadmap, qa-roadmap, react-roadmap, roadmap, software-architect-roadmap, vue-roadmap",164,Other,https://github.com/kamranahmedse/developer-roadmap,https://github.com/kamranahmedse,https://roadmap.sh,2017-03-15T13:45:52Z,2025-02-26T06:01:58Z
41881900,vscode,microsoft/vscode,167800,30719,988075,TypeScript,main,"editor, electron, microsoft, typescript, visual-studio-code",9296,"MIT License",https://github.com/microsoft/vscode,https://github.com/microsoft,https://code.visualstudio.com,2015-09-03T20:23:38Z,2025-02-26T06:09:22Z
62607227,tech-interview-handbook,yangshun/tech-interview-handbook,122091,15018,32189,TypeScript,main,"algorithm, algorithm-interview, algorithm-interview-questions, algorithms, behavioral-interviews, coding-interviews, interview-practice, interview-preparation, interview-questions, system-design",49,"MIT License",https://github.com/yangshun/tech-interview-handbook,https://github.com/yangshun,https://www.techinterviewhandbook.org,2016-07-05T05:00:48Z,2025-02-26T05:41:37Z
20929025,TypeScript,microsoft/TypeScript,102352,12681,2849631,TypeScript,main,"javascript, language, typechecker, typescript",6059,"Apache License 2.0",https://github.com/microsoft/TypeScript,https://github.com/microsoft,https://www.typescriptlang.org,2014-06-17T15:28:39Z,2025-02-26T04:36:05Z
24195339,angular,angular/angular,97042,25914,524210,TypeScript,main,"angular, javascript, pwa, typescript, web, web-framework, web-performance",1770,"MIT License",https://github.com/angular/angular,https://github.com/angular,https://angular.dev,2014-09-18T16:12:01Z,2025-02-26T05:39:16Z
23083156,material-ui,mui/material-ui,94883,32504,652746,TypeScript,master,"design-systems, material-design, react, react-components",1833,"MIT License",https://github.com/mui/material-ui,https://github.com/mui,https://mui.com/material-ui/,2014-08-18T19:11:54Z,2025-02-26T04:52:38Z
34526884,ant-design,ant-design/ant-design,93797,51314,216213,TypeScript,master,"ant-design, antd, design-systems, react, typescript, ui-kit, ui-library",1286,"MIT License",https://github.com/ant-design/ant-design,https://github.com/ant-design,https://ant.design,2015-04-24T15:37:24Z,2025-02-26T05:40:22Z
231283452,excalidraw,excalidraw/excalidraw,93156,8925,90580,TypeScript,master,"canvas, collaboration, diagrams, drawing, hacktoberfest, productivity, whiteboard",2053,"MIT License",https://github.com/excalidraw/excalidraw,https://github.com/excalidraw,https://excalidraw.com,2020-01-02T01:04:43Z,2025-02-26T05:59:31Z
90796663,puppeteer,puppeteer/puppeteer,89822,9148,1041581,TypeScript,main,"automation, chrome, chromium, developer-tools, firefox, headless-chrome, node-module, testing, web",264,"Apache License 2.0",https://github.com/puppeteer/puppeteer,https://github.com/puppeteer,https://pptr.dev,2017-05-09T22:16:13Z,2025-02-26T04:38:16Z
54173593,storybook,storybookjs/storybook,85939,9448,950018,TypeScript,next,"angular, components, design-systems, documentation, html, javascript, react, react-native, stories, storybook, styleguide, svelte, testing, typescript, ui, vite, vue, web-components, webpack, workshop",2189,"MIT License",https://github.com/storybookjs/storybook,https://github.com/storybookjs,https://storybook.js.org,2016-03-18T04:23:44Z,2025-02-26T02:26:57Z
585146387,ui,shadcn-ui/ui,81705,5380,24755,TypeScript,main,"components, nextjs, radix-ui, react, shadcn, tailwindcss, ui",1686,"MIT License",https://github.com/shadcn-ui/ui,https://github.com/shadcn-ui,https://ui.shadcn.com,2023-01-04T12:43:27Z,2025-02-26T05:54:26Z
612344730,NextChat,ChatGPTNextWeb/NextChat,81322,61040,20119,TypeScript,main,"calclaude, chatgpt, claude, cross-platform, desktop, fe, gemini, gemini-pro, gemini-server, gemini-ultra, gpt-4o, groq, nextjs, ollama, react, tauri, tauri-app, vercel, webui",667,"MIT License",https://github.com/ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb,https://nextchat.club,2023-03-10T18:27:54Z,2025-02-26T05:51:56Z
52631841,realworld,gothinkster/realworld,81251,7404,35366,TypeScript,main,,68,"MIT License",https://github.com/gothinkster/realworld,https://github.com/gothinkster,https://realworld-docs.netlify.app/,2016-02-26T20:49:53Z,2025-02-26T05:41:13Z
214587193,supabase,supabase/supabase,78045,7791,1639704,TypeScript,master,"ai, alternative, auth, database, deno, embeddings, example, firebase, nextjs, oauth2, pgvector, postgis, postgres, postgresql, postgrest, realtime, supabase, vectors, websockets",634,"Apache License 2.0",https://github.com/supabase/supabase,https://github.com/supabase,https://supabase.com,2019-10-12T05:56:49Z,2025-02-26T05:47:48Z
26066727,mermaid,mermaid-js/mermaid,76143,7045,242805,TypeScript,develop,"diagrams, diagrams-as-code, documentation, flowchart, javascript, mindmap, typescript, uml-diagrams",1253,"MIT License",https://github.com/mermaid-js/mermaid,https://github.com/mermaid-js,https://mermaid.js.org,2014-11-01T23:52:32Z,2025-02-26T05:27:36Z
626805178,dify,langgenius/dify,73216,10658,77132,TypeScript,main,"agent, ai, anthropic, backend-as-a-service, chatbot, gemini, genai, gpt, gpt-4, llama3, llm, llmops, nextjs, openai, orchestration, python, rag, workflow, workflows",516,Other,https://github.com/langgenius/dify,https://github.com/langgenius,https://dify.ai,2023-04-12T07:40:24Z,2025-02-26T06:10:02Z
257485422,vite,vitejs/vite,70930,6461,44530,TypeScript,main,"build-tool, dev-server, frontend, hmr, vite",580,"MIT License",https://github.com/vitejs/vite,https://github.com/vitejs,http://vite.dev,2020-04-21T05:03:57Z,2025-02-26T05:55:26Z
172953845,code-server,coder/code-server,69986,5780,53176,TypeScript,main,"browser-ide, dev-tools, development-environment, ide, remote-work, vscode, vscode-remote",137,"MIT License",https://github.com/coder/code-server,https://github.com/coder,https://coder.com,2019-02-27T16:50:41Z,2025-02-26T04:57:40Z
221981891,playwright,microsoft/playwright,69654,3897,168516,TypeScript,main,"automation, chrome, chromium, e2e-testing, electron, end-to-end-testing, firefox, javascript, playwright, test, test-automation, testing, testing-tools, web, webkit",738,"Apache License 2.0",https://github.com/microsoft/playwright,https://github.com/microsoft,https://playwright.dev,2019-11-15T18:32:42Z,2025-02-26T05:54:35Z
