ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
132750724,build-your-own-x,codecrafters-io/build-your-own-x,341721,31619,1058,Markdown,master,"awesome-list, free, programming, tutorial-code, tutorial-exercises, tutorials",353,,https://github.com/codecrafters-io/build-your-own-x,https://github.com/codecrafters-io,https://codecrafters.io,2018-05-09T12:03:18Z,2025-02-26T06:57:19Z
241576270,fucking-algorithm,labuladong/fucking-algorithm,126955,23305,126276,Markdown,master,"algorithms, computer-science, data-structures, dynamic-programming, dynamic-programming-algorithm, interview-questions, kmp, leetcode",41,,https://github.com/labuladong/fucking-algorithm,https://github.com/labuladong,https://labuladong.online/algo/,2020-02-19T09:01:23Z,2025-02-26T06:51:26Z
15019962,tldr,tldr-pages/tldr,53815,4351,32971,Markdown,main,"android, bsd, cheatsheet, cheatsheets, command-line, console, documentation, examples, hacktoberfest, help, linux, macos, man-page, manpages, manual, osx, shell, terminal, tldr, windows",213,Other,https://github.com/tldr-pages/tldr,https://github.com/tldr-pages,https://tldr.sh,2013-12-08T07:34:43Z,2025-02-26T05:53:08Z
73561650,linux-command,jaywcjlove/linux-command,32854,6284,3155093,Markdown,master,"bash, chrome, chrome-extension, command-line, gh-pages, linux, linux-command, ls, screen, screenshot, search, ssh, tools, web-tools",79,"MIT License",https://github.com/jaywcjlove/linux-command,https://github.com/jaywcjlove,https://jaywcjlove.github.io/linux-command,2016-11-12T15:44:26Z,2025-02-26T06:49:39Z
17372733,OpenAPI-Specification,OAI/OpenAPI-Specification,29419,9110,6844,Markdown,main,"apis, oas, openapi, openapi-specification, rest, webapi",179,"Apache License 2.0",https://github.com/OAI/OpenAPI-Specification,https://github.com/OAI,https://openapis.org,2014-03-03T16:53:36Z,2025-02-26T05:19:06Z
45497910,swift-evolution,swiftlang/swift-evolution,15484,2434,11833,Markdown,main,,54,"Apache License 2.0",https://github.com/swiftlang/swift-evolution,https://github.com/swiftlang,https://www.swift.org/swift-evolution/,2015-11-03T21:49:37Z,2025-02-26T00:45:15Z
21958186,magictools,ellisonleao/magictools,14046,1030,735,Markdown,main,"art, awesome, awesome-list, board-games, curated, design, frameworks, game-design, game-development, game-engine, game-jam, game-programming, gamedev, games, hacktoberfest, list",0,"MIT License",https://github.com/ellisonleao/magictools,https://github.com/ellisonleao,,2014-07-17T21:27:07Z,2025-02-25T11:08:14Z
10974951,learnxinyminutes-docs,adambard/learnxinyminutes-docs,11722,3398,31035,Markdown,master,,180,Other,https://github.com/adambard/learnxinyminutes-docs,https://github.com/adambard,https://learnxinyminutes.com/,2013-06-26T17:58:34Z,2025-02-26T05:48:08Z
246956544,Badges4-README.md-Profile,alexandresanlim/Badges4-README.md-Profile,10928,1613,1713,Markdown,master,"awesome, awesome-list, awesome-readme, badge, badges, collection, github, github-pages, github-profile, github-profile-readme, icon, icons, markdown, profile, readme, readme-profile, shield, shields, social, uri",41,,https://github.com/alexandresanlim/Badges4-README.md-Profile,https://github.com/alexandresanlim,,2020-03-13T00:29:46Z,2025-02-25T18:29:25Z
72685026,azure-docs,MicrosoftDocs/azure-docs,10415,21605,25367325,Markdown,main,skilling,1885,"Creative Commons Attribution 4.0 International",https://github.com/MicrosoftDocs/azure-docs,https://github.com/MicrosoftDocs,https://docs.microsoft.com/azure,2016-11-02T22:00:37Z,2025-02-26T06:08:30Z
295774370,content,mdn/content,9373,22629,425252,Markdown,main,"css, documentation, html, http, javascript, learning, mdn, reference, web-development, web-standards",438,Other,https://github.com/mdn/content,https://github.com/mdn,https://developer.mozilla.org,2020-09-15T15:42:29Z,2025-02-26T05:09:20Z
290234921,awesome-youtubers,JoseDeFreitas/awesome-youtubers,6329,452,1054,Markdown,main,"awesome, awesome-list, list, youtube, youtubers",0,"Creative Commons Zero v1.0 Universal",https://github.com/JoseDeFreitas/awesome-youtubers,https://github.com/JoseDeFreitas,,2020-08-25T14:18:15Z,2025-02-26T05:02:39Z
17527989,rfcs,rust-lang/rfcs,6058,1600,10888,Markdown,master,"rfc, rfc-process, rust",787,"Apache License 2.0",https://github.com/rust-lang/rfcs,https://github.com/rust-lang,https://rust-lang.github.io/rfcs/,2014-03-07T21:29:00Z,2025-02-26T01:19:45Z
41443539,vscode-docs,microsoft/vscode-docs,5849,4835,174013,Markdown,main,vscode,92,Other,https://github.com/microsoft/vscode-docs,https://github.com/microsoft,http://code.visualstudio.com/docs,2015-08-26T18:45:33Z,2025-02-25T19:56:32Z
116457726,ethereum-org-website,ethereum/ethereum-org-website,5255,4977,705081,Markdown,dev,"blockchain, chakra-ui, ethereum, hacktoberfest, nextjs, react, typescript, web3",292,"MIT License",https://github.com/ethereum/ethereum-org-website,https://github.com/ethereum,https://ethereum.org/,2018-01-06T05:54:37Z,2025-02-25T23:00:37Z
