ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
19438,ggplot2,tidyverse/ggplot2,6621,2070,1221435,R,main,"data-visualisation, r, visualisation",125,Other,https://github.com/tidyverse/ggplot2,https://github.com/tidyverse,https://ggplot2.tidyverse.org,2008-05-25T01:21:32Z,2025-02-26T03:50:26Z
495942174,FriendsDontLetFriends,cxli233/FriendsDontLetFriends,6584,260,10433,R,main,"data-visualization, r",10,"MIT License",https://github.com/cxli233/FriendsDontLetFriends,https://github.com/cxli233,,2022-05-24T18:26:12Z,2025-02-26T00:06:45Z
22003158,awesome-R,qinwf/awesome-R,6104,1505,1174,R,master,"awesome, awesome-list, data-analysis, data-science, list, r, rstats",15,,https://github.com/qinwf/awesome-R,https://github.com/qinwf,,2014-07-19T06:02:47Z,2025-02-24T12:12:10Z
4729944,shiny,rstudio/shiny,5438,1871,62862,R,main,"r, reactive, rstudio, shiny, web-app, web-development",879,Other,https://github.com/rstudio/shiny,https://github.com/rstudio,https://shiny.posit.co/,2012-06-20T18:45:11Z,2025-02-25T00:57:31Z
6427813,dplyr,tidyverse/dplyr,4830,2125,71040,R,main,"data-manipulation, grammar, r",107,Other,https://github.com/tidyverse/dplyr,https://github.com/tidyverse,https://dplyr.tidyverse.org/,2012-10-28T13:39:17Z,2025-02-25T05:00:13Z
39799721,r4ds,hadley/r4ds,4690,4255,77905,R,main,"book, bookdown, data-science, r",49,Other,https://github.com/hadley/r4ds,https://github.com/hadley,https://r4ds.hadley.nz/,2015-07-27T21:52:44Z,2025-02-25T23:29:28Z
17101828,swirl_courses,swirldev/swirl_courses,4378,7243,48394,R,master,,205,Other,https://github.com/swirldev/swirl_courses,https://github.com/swirldev,http://swirlstats.com,2014-02-23T04:48:04Z,2025-02-24T22:39:52Z
414976836,stat_rethinking_2022,rmcelreath/stat_rethinking_2022,4108,442,15803,R,main,,12,,https://github.com/rmcelreath/stat_rethinking_2022,https://github.com/rmcelreath,,2021-10-08T12:24:05Z,2025-02-21T12:25:32Z
20597509,data.table,Rdatatable/data.table,3689,1001,57128,R,master,,1094,"Mozilla Public License 2.0",https://github.com/Rdatatable/data.table,https://github.com/Rdatatable,http://r-datatable.com,2014-06-07T16:38:05Z,2025-02-25T19:35:32Z
3403779,ML_for_Hackers,johnmyleswhite/ML_for_Hackers,3677,2220,121125,R,master,,36,,https://github.com/johnmyleswhite/ML_for_Hackers,https://github.com/johnmyleswhite,http://shop.oreilly.com/product/0636920018483.do,2012-02-10T03:00:23Z,2025-02-23T12:17:43Z
55921016,awesome-network-analysis,briatte/awesome-network-analysis,3657,615,1411,R,master,"awesome, awesome-list, complex-networks, disease-networks, graph-theory, historical-networks, list, network-analysis, network-science, network-visualization, political-networks, semantic-networks, sna, social-network-analysis, social-networks",9,,https://github.com/briatte/awesome-network-analysis,https://github.com/briatte,http://f.briatte.org/r/awesome-network-analysis-list,2016-04-10T20:31:19Z,2025-02-25T13:19:55Z
27778839,AnomalyDetection,twitter/AnomalyDetection,3589,777,1377,R,master,,71,"GNU General Public License v3.0",https://github.com/twitter/AnomalyDetection,https://github.com/twitter,,2014-12-09T17:46:24Z,2025-02-24T02:42:22Z
16146440,rmarkdown,rstudio/rmarkdown,2910,982,125473,R,main,"literate-programming, markdown, pandoc, r, r-package, rmarkdown",263,"GNU General Public License v3.0",https://github.com/rstudio/rmarkdown,https://github.com/rstudio,https://rmarkdown.rstudio.com,2014-01-22T17:25:19Z,2025-02-21T16:00:22Z
14579179,plotly.R,plotly/plotly.R,2599,631,116368,R,master,"d3js, data-visualization, ggplot2, javascript, plotly, r, r-package, rstats, shiny, webgl",733,Other,https://github.com/plotly/plotly.R,https://github.com/plotly,https://plotly-r.com,2013-11-21T05:56:51Z,2025-02-20T03:47:13Z
112388106,patchwork,thomasp85/patchwork,2513,162,59737,R,main,"ggplot-extension, ggplot2, rstats, visualization",45,Other,https://github.com/thomasp85/patchwork,https://github.com/thomasp85,https://patchwork.data-imaginist.com,2017-11-28T20:55:08Z,2025-02-24T15:13:07Z
643909,devtools,r-lib/devtools,2424,762,13431,R,main,"package-creation, r",39,Other,https://github.com/r-lib/devtools,https://github.com/r-lib,https://devtools.r-lib.org,2010-05-03T04:08:49Z,2025-02-25T06:41:22Z
2594513,knitr,yihui/knitr,2417,879,8503,R,master,"dynamic-documents, knitr, literate-programming, r, r-package, rmarkdown, sweave",152,,https://github.com/yihui/knitr,https://github.com/yihui,https://yihui.org/knitr/,2011-10-17T20:09:04Z,2025-02-26T05:44:45Z
35927665,seurat,satijalab/seurat,2381,930,81831,R,main,"cran, human-cell-atlas, single-cell-genomics, single-cell-rna-seq",433,Other,https://github.com/satijalab/seurat,https://github.com/satijalab,http://www.satijalab.org/seurat,2015-05-20T05:23:02Z,2025-02-26T06:03:27Z
572430582,stat_rethinking_2023,rmcelreath/stat_rethinking_2023,2243,250,143783,R,main,,13,"Creative Commons Zero v1.0 Universal",https://github.com/rmcelreath/stat_rethinking_2023,https://github.com/rmcelreath,,2022-11-30T09:01:17Z,2025-02-23T04:52:59Z
8635720,rethinking,rmcelreath/rethinking,2214,607,2867,R,master,,270,,https://github.com/rmcelreath/rethinking,https://github.com/rmcelreath,,2013-03-07T20:18:09Z,2025-02-22T11:59:57Z
133241343,rayshader,tylermorganwall/rayshader,2096,214,1484906,R,master,,39,,https://github.com/tylermorganwall/rayshader,https://github.com/tylermorganwall,https://www.rayshader.com/,2018-05-13T13:51:00Z,2025-02-25T17:13:21Z
116717490,ggstatsplot,IndrajeetPatil/ggstatsplot,2078,187,2342429,R,main,"bayes-factors, datascience, dataviz, effect-size, ggplot-extension, hypothesis-testing, non-parametric-statistics, r, regression-models, statistical-analysis",60,Other,https://github.com/IndrajeetPatil/ggstatsplot,https://github.com/IndrajeetPatil,https://indrajeetpatil.github.io/ggstatsplot/,2018-01-08T19:16:42Z,2025-02-24T22:45:37Z
126038547,gt,rstudio/gt,2073,213,303971,R,master,"docx, easy-to-use, html, latex, r, rtf, summary-tables",299,Other,https://github.com/rstudio/gt,https://github.com/rstudio,https://gt.rstudio.com,2018-03-20T15:18:51Z,2025-02-25T15:08:36Z
