ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
8514,rails,rails/rails,56511,21789,263121,Ruby,main,"activejob, activerecord, framework, html, mvc, rails, ruby",1274,"MIT License",https://github.com/rails/rails,https://github.com/rails,https://rubyonrails.org,2008-04-11T02:19:47Z,2025-02-26T05:05:16Z
65252,jekyll,jekyll/jekyll,49654,10055,68944,Ruby,master,"blog-engine, jekyll, liquid, markdown, ruby, static-site-generator",203,"MIT License",https://github.com/jekyll/jekyll,https://github.com/jekyll,https://jekyllrb.com,2008-10-20T06:29:03Z,2025-02-26T04:09:30Z
52281283,mastodon,mastodon/mastodon,47822,7105,285094,Ruby,main,"activity-stream, activitypub, docker, fediverse, mastodon, microblog, social-network, social-web, webfinger",4077,"GNU Affero General Public License v3.0",https://github.com/mastodon/mastodon,https://github.com/mastodon,https://joinmastodon.org,2016-02-22T15:01:25Z,2025-02-26T06:01:21Z
8681349,huginn,huginn/huginn,45022,3889,8735,Ruby,master,"agent, automation, feed, feedgenerator, huginn, monitoring, notifications, rss, scraper, twitter, twitter-streaming, webscraping",679,"MIT License",https://github.com/huginn/huginn,https://github.com/huginn,,2013-03-10T06:00:31Z,2025-02-26T06:07:42Z
7569578,discourse,discourse/discourse,43325,8447,708574,Ruby,main,"discourse, ember, forum, javascript, postgresql, rails, ruby",101,"GNU General Public License v2.0",https://github.com/discourse/discourse,https://github.com/discourse,https://www.discourse.org,2013-01-12T00:25:55Z,2025-02-26T05:46:43Z
53238813,brew,Homebrew/brew,42631,10030,95019,Ruby,master,"brew, homebrew, macos, package-manager, ruby",92,"BSD 2-Clause ""Simplified"" License",https://github.com/Homebrew/brew,https://github.com/Homebrew,https://brew.sh,2016-03-06T05:08:38Z,2025-02-26T06:38:05Z
737898780,maybe,maybe-finance/maybe,41126,2910,4938,Ruby,main,"finance, hotwire, personal-finance, postgresql, ruby, ruby-on-rails, stimulusjs, turbo",31,"GNU Affero General Public License v3.0",https://github.com/maybe-finance/maybe,https://github.com/maybe-finance,https://maybefinance.com,2024-01-01T22:23:46Z,2025-02-26T06:49:25Z
27442967,fastlane,fastlane/fastlane,39928,5764,82735,Ruby,master,"android, apps, automation, deployment, fastlane, hacktoberfest, hacktoberfest2021, ios, mobile, ruby, screenshots",829,"MIT License",https://github.com/fastlane/fastlane,https://github.com/fastlane,https://fastlane.tools,2014-12-02T17:00:38Z,2025-02-26T01:43:43Z
13840241,devdocs,freeCodeCamp/devdocs,35794,2395,31906,Ruby,main,"api-documentation, app, devdocs, developer-tools, docs, documentation, documentation-tool, hacktoberfest, offline, pwa",212,"Mozilla Public License 2.0",https://github.com/freeCodeCamp/devdocs,https://github.com/freeCodeCamp,https://devdocs.io,2013-10-24T18:16:07Z,2025-02-26T05:27:21Z
2293158,metasploit-framework,rapid7/metasploit-framework,34906,14179,1089891,Ruby,master,hacktoberfest,461,Other,https://github.com/rapid7/metasploit-framework,https://github.com/rapid7,https://www.metasploit.com/,2011-08-30T06:13:20Z,2025-02-26T02:58:48Z
37382858,engineering-blogs,kilimchoi/engineering-blogs,32537,1705,1339,Ruby,master,"engineering-blogs, lists, programming-blogs, software-development, tech",132,,https://github.com/kilimchoi/engineering-blogs,https://github.com/kilimchoi,,2015-06-13T18:25:17Z,2025-02-26T05:45:01Z
21600440,awesome-awesomeness,bayandin/awesome-awesomeness,32400,3571,381,Ruby,master,,40,,https://github.com/bayandin/awesome-awesomeness,https://github.com/bayandin,,2014-07-08T05:44:19Z,2025-02-25T22:16:47Z
481872,vagrant,hashicorp/vagrant,26504,4450,81462,Ruby,main,"automation, ruby, vagrant, virtualization",754,Other,https://github.com/hashicorp/vagrant,https://github.com/hashicorp,https://www.vagrantup.com,2010-01-21T08:34:27Z,2025-02-26T04:01:21Z
21696302,awesome-swift,matteocrippa/awesome-swift,25152,3095,7454,Ruby,master,"awesome, awesome-list, awesome-lists, awesome-swift, ios, linux, list, lists, swift, swift-extensions, swift-framework, swift-language, swift-library",5,"Creative Commons Zero v1.0 Universal",https://github.com/matteocrippa/awesome-swift,https://github.com/matteocrippa,,2014-07-10T14:04:09Z,2025-02-26T01:10:16Z
308770,devise,heartcombo/devise,24129,5543,5836,Ruby,main,"authentication, devise, rails, ruby",214,"MIT License",https://github.com/heartcombo/devise,https://github.com/heartcombo,http://blog.plataformatec.com.br/tag/devise/,2009-09-16T12:15:12Z,2025-02-26T02:01:40Z
2500088,gitlabhq,gitlabhq/gitlabhq,23910,5749,1773432,Ruby,master,"gitlab, rails, ruby",36,Other,https://github.com/gitlabhq/gitlabhq,https://github.com/gitlabhq,https://about.gitlab.com/getting-help/,2011-10-02T16:25:27Z,2025-02-26T06:13:09Z
202291859,chatwoot,chatwoot/chatwoot,22487,3924,149067,Ruby,develop,"actioncable, chat-widget, conversation, customer-support, dashboard, design, docker, docker-image, heroku, intercom, javascript, livechat, opensource, rails, ruby, sass, vuejs, whatsapp, zendesk",943,Other,https://github.com/chatwoot/chatwoot,https://github.com/chatwoot,https://www.chatwoot.com/help-center,2019-08-14T06:50:51Z,2025-02-26T06:30:20Z
538746,ruby,ruby/ruby,22394,5369,325520,Ruby,master,"c, jit, language, object-oriented, programming-language, ruby, ruby-language, rust",438,Other,https://github.com/ruby/ruby,https://github.com/ruby,https://www.ruby-lang.org/,2010-02-27T15:55:23Z,2025-02-26T06:21:43Z
73648678,forem,forem/forem,22189,4090,1699789,Ruby,main,"community, discussion, feedback, hacktoberfest, open-source, rails, ruby",675,"GNU Affero General Public License v3.0",https://github.com/forem/forem,https://github.com/forem,https://forem.com,2016-11-13T23:02:13Z,2025-02-26T05:04:59Z
3623050,homebrew-cask,Homebrew/homebrew-cask,21153,10865,434651,Ruby,master,"cask, hacktoberfest, homebrew",25,"BSD 2-Clause ""Simplified"" License",https://github.com/Homebrew/homebrew-cask,https://github.com/Homebrew,https://brew.sh,2012-03-05T02:05:17Z,2025-02-26T06:57:25Z
18486300,setup,lewagon/setup,18924,1601,26646,Ruby,master,"ruby, setup",3,,https://github.com/lewagon/setup,https://github.com/lewagon,https://www.lewagon.com,2014-04-06T09:25:02Z,2025-02-25T18:44:06Z
88740103,postal,postalserver/postal,15231,1087,3267,Ruby,main,"mail, mail-server, postal, ruby, smtp",64,"MIT License",https://github.com/postalserver/postal,https://github.com/postalserver,https://postalserver.io,2017-04-19T12:04:57Z,2025-02-25T14:45:35Z
2203645,CocoaPods,CocoaPods/CocoaPods,14645,2655,98052,Ruby,master,"cocoapods, dependency-manager, ios, mac, objective-c, package-manager, swift",769,Other,https://github.com/CocoaPods/CocoaPods,https://github.com/CocoaPods,https://cocoapods.org/,2011-08-14T00:10:53Z,2025-02-26T04:04:38Z
3314,spree,spree/spree,14376,5050,158507,Ruby,main,"cart, e-commerce, ecommerce, ecommerce-api, ecommerce-framework, ecommerce-platform, marketplace, multi-tenant, multi-vendor, multi-vendor-ecommerce, open-source, rails, ruby, rubyonrails, shop, spree, spree-commerce, spreecommerce, store, white-label",299,Other,https://github.com/spree/spree,https://github.com/spree,https://spreecommerce.org,2008-03-10T14:45:35Z,2025-02-26T06:28:42Z
11423758,quine-relay,mame/quine-relay,14101,559,14867,Ruby,master,quine,16,,https://github.com/mame/quine-relay,https://github.com/mame,,2013-07-15T13:29:20Z,2025-02-24T22:02:43Z
52855516,homebrew-core,Homebrew/homebrew-core,14046,12636,899422,Ruby,master,"core, formulae, hacktoberfest, homebrew, ruby, tap",78,"BSD 2-Clause ""Simplified"" License",https://github.com/Homebrew/homebrew-core,https://github.com/Homebrew,https://brew.sh,2016-03-01T06:58:36Z,2025-02-26T06:50:56Z
585285,gollum,gollum/gollum,13948,1563,134120,Ruby,master,"documentation, documentation-tool, gollum, jruby-support, markdown, ruby, wiki",58,"MIT License",https://github.com/gollum/gollum,https://github.com/gollum,,2010-03-29T18:30:53Z,2025-02-26T03:55:00Z
911765,diaspora,diaspora/diaspora,13450,2921,117355,Ruby,develop,"decentralized, distributed, federated, hacktoberfest, rails, ruby, social-network",424,"GNU Affero General Public License v3.0",https://github.com/diaspora/diaspora,https://github.com/diaspora,https://diasporafoundation.org/,2010-09-15T05:20:04Z,2025-02-24T05:25:03Z
3195124,sidekiq,sidekiq/sidekiq,13249,2428,14242,Ruby,main,"background-jobs, jobs, ruby, sidekiq",29,Other,https://github.com/sidekiq/sidekiq,https://github.com/sidekiq,https://sidekiq.org,2012-01-16T23:17:27Z,2025-02-26T02:01:33Z
1918677,fluentd,fluent/fluentd,13036,1353,19998,Ruby,master,"cncf, data-collector, fluentd, logging, ruby",146,"Apache License 2.0",https://github.com/fluent/fluentd,https://github.com/fluent,https://www.fluentd.org,2011-06-19T08:41:40Z,2025-02-26T04:13:05Z
1157388,tmuxinator,tmuxinator/tmuxinator,12907,628,950,Ruby,master,,107,"MIT License",https://github.com/tmuxinator/tmuxinator,https://github.com/tmuxinator,,2010-12-10T21:49:50Z,2025-02-26T03:50:09Z
138312,capistrano,capistrano/capistrano,12763,1771,4635,Ruby,master,"capistrano, deployment, ruby, ssh",59,"MIT License",https://github.com/capistrano/capistrano,https://github.com/capistrano,http://www.capistranorb.com,2009-02-26T16:14:04Z,2025-02-25T09:08:43Z
4095287,rubocop,rubocop/rubocop,12684,3078,48740,Ruby,master,"code-formatter, hacktoberfest, linter, rubocop, ruby, static-code-analysis",371,"MIT License",https://github.com/rubocop/rubocop,https://github.com/rubocop,https://docs.rubocop.org,2012-04-21T10:09:58Z,2025-02-26T06:42:43Z
1725199,linguist,github-linguist/linguist,12561,4410,40637,Ruby,main,"language-grammars, language-statistics, linguistic, syntax-highlighting",226,"MIT License",https://github.com/github-linguist/linguist,https://github.com/github-linguist,,2011-05-09T22:53:13Z,2025-02-26T06:19:22Z
106995,sinatra,sinatra/sinatra,12248,2078,7722,Ruby,main,"rack, ruby, sinatra, web-framework",22,"MIT License",https://github.com/sinatra/sinatra,https://github.com/sinatra,https://sinatrarb.com,2009-01-14T01:27:30Z,2025-02-25T19:18:00Z
586265895,kamal,basecamp/kamal,12131,510,2432,Ruby,main,,124,"MIT License",https://github.com/basecamp/kamal,https://github.com/basecamp,https://kamal-deploy.org,2023-01-07T14:32:08Z,2025-02-26T04:10:01Z
96395,faker,faker-ruby/faker,11318,3176,14305,Ruby,main,"fake, ruby",16,"MIT License",https://github.com/faker-ruby/faker,https://github.com/faker-ruby,,2008-12-24T17:20:37Z,2025-02-25T18:57:23Z
15435,liquid,Shopify/liquid,11256,1423,5979,Ruby,main,,379,"MIT License",https://github.com/Shopify/liquid,https://github.com/Shopify,https://shopify.github.io/liquid/,2008-05-08T15:27:26Z,2025-02-26T06:30:10Z
1217404,fpm,jordansissel/fpm,11233,1074,2993,Ruby,main,packaging,774,Other,https://github.com/jordansissel/fpm,https://github.com/jordansissel,http://fpm.readthedocs.io/en/latest/,2011-01-03T20:07:59Z,2025-02-24T20:12:30Z
6688319,Learning-SICP,DeathKing/Learning-SICP,11080,1542,9077,Ruby,master,"compiler-principles, functional-programming, interpreters, open-course, scheme, sicp",1,,https://github.com/DeathKing/Learning-SICP,https://github.com/DeathKing,https://learningsicp.github.io,2012-11-14T13:43:27Z,2025-02-25T11:26:26Z
13761875,remote-working,greatghoul/remote-working,10720,858,1303,Ruby,master,"china, freelancer, remote-work, remote-workers, soho, telecommunications, work-from-home",1,"MIT License",https://github.com/greatghoul/remote-working,https://github.com/greatghoul,https://remote-info.cn,2013-10-22T03:17:29Z,2025-02-26T03:07:07Z
361310,capybara,teamcapybara/capybara,10054,1456,12796,Ruby,master,hacktoberfest,50,"MIT License",https://github.com/teamcapybara/capybara,https://github.com/teamcapybara,http://teamcapybara.github.io/capybara/,2009-11-04T22:19:17Z,2025-02-24T03:02:52Z
