ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
133442384,deno,denoland/deno,101925,5498,160326,Rust,main,"deno, javascript, rust, typescript",2117,"MIT License",https://github.com/denoland/deno,https://github.com/denoland,https://deno.com,2018-05-15T01:34:26Z,2025-02-26T05:52:24Z
724712,rust,rust-lang/rust,101516,13141,619370,Rust,master,"compiler, hacktoberfest, language, rust",10745,Other,https://github.com/rust-lang/rust,https://github.com/rust-lang,https://www.rust-lang.org,2010-06-16T20:39:03Z,2025-02-26T06:27:24Z
196701619,tauri,tauri-apps/tauri,89824,2746,93695,Rust,dev,"desktop-app, high-performance, mobile-app, native-app, rust, web-frontend, webview",1019,"Apache License 2.0",https://github.com/tauri-apps/tauri,https://github.com/tauri-apps,https://tauri.app,2019-07-13T09:09:37Z,2025-02-26T06:54:43Z
299354207,rustdesk,rustdesk/rustdesk,83000,11607,56495,Rust,master,"anydesk, dart, flutter, flutter-apps, flutter-desktop, flutter-examples, flutter-mobile, flutter-ui, flutter-web, hacktoberfest, linux, p2p, rdp, remote-control, remote-desktop, rust, rust-lang, teamviewer, vnc, wayland",50,"GNU Affero General Public License v3.0",https://github.com/rustdesk/rustdesk,https://github.com/rustdesk,https://rustdesk.com,2020-09-28T15:36:08Z,2025-02-26T06:34:51Z
331107018,sway,FuelLabs/sway,62447,5386,90389,Rust,master,"compiler, fuel, language, sway",869,"Apache License 2.0",https://github.com/FuelLabs/sway,https://github.com/FuelLabs,https://docs.fuel.network/docs/sway/,2021-01-19T20:54:33Z,2025-02-25T23:45:51Z
290882787,fuel-core,FuelLabs/fuel-core,57789,2835,904784,Rust,master,"blockchain, fuel",162,Other,https://github.com/FuelLabs/fuel-core,https://github.com/FuelLabs,,2020-08-27T21:12:14Z,2025-02-26T00:15:10Z
51980455,alacritty,alacritty/alacritty,57773,3075,13577,Rust,master,"bsd, gpu, linux, macos, opengl, rust, terminal, terminal-emulators, vte, windows",328,"Apache License 2.0",https://github.com/alacritty/alacritty,https://github.com/alacritty,https://alacritty.org,2016-02-18T05:02:30Z,2025-02-26T06:16:59Z
42489829,rustlings,rust-lang/rustlings,56574,10437,4115,Rust,main,"beginner-friendly, rust, rustlings",52,"MIT License",https://github.com/rust-lang/rustlings,https://github.com/rust-lang,https://rustlings.cool,2015-09-15T02:25:18Z,2025-02-26T06:42:54Z
340547520,zed,zed-industries/zed,54789,3605,162374,Rust,main,"gpui, rust-lang, text-editor, zed",2931,Other,https://github.com/zed-industries/zed,https://github.com/zed-industries,https://zed.dev,2021-02-20T03:01:06Z,2025-02-26T06:36:39Z
575340621,ChatGPT,lencx/ChatGPT,53642,6063,32499,Rust,v2-dev,"ai, app, application, chatgpt, desktop-app, gpt, gpt-3, linux, macos, notes-app, openai, rust, tauri, webview, windows",804,,https://github.com/lencx/ChatGPT,https://github.com/lencx,https://nofwl.com,2022-12-07T09:43:02Z,2025-02-26T05:21:56Z
130464961,bat,sharkdp/bat,51295,1282,33009,Rust,master,"cli, command-line, git, hacktoberfest, rust, syntax-highlighting, terminal, tool",340,"Apache License 2.0",https://github.com/sharkdp/bat,https://github.com/sharkdp,,2018-04-21T10:52:23Z,2025-02-26T06:59:12Z
53631945,ripgrep,BurntSushi/ripgrep,50593,2065,4972,Rust,master,"cli, command-line, command-line-tool, gitignore, grep, recursively-search, regex, ripgrep, rust, search",162,"The Unlicense",https://github.com/BurntSushi/ripgrep,https://github.com/BurntSushi,,2016-03-11T02:02:33Z,2025-02-26T06:20:42Z
130688011,meilisearch,meilisearch/meilisearch,49441,1937,70446,Rust,main,"ai, api, app-search, database, enterprise-search, faceting, full-text-search, fuzzy-search, geosearch, hybrid-search, instantsearch, search, search-as-you-type, search-engine, semantic-search, site-search, typo-tolerance, vector-database, vector-search, vectors",210,"MIT License",https://github.com/meilisearch/meilisearch,https://github.com/meilisearch,https://www.meilisearch.com,2018-04-23T11:45:28Z,2025-02-26T06:45:29Z
21938243,awesome-rust,rust-unofficial/awesome-rust,48895,2855,7216,Rust,main,"awesome, rust",10,"Creative Commons Zero v1.0 Universal",https://github.com/rust-unofficial/awesome-rust,https://github.com/rust-unofficial,,2014-07-17T10:45:10Z,2025-02-26T06:33:52Z
178991158,starship,starship/starship,47252,2044,39365,Rust,master,"bash, fish, fish-prompt, fish-theme, oh-my-zsh, powershell, rust, shell-prompt, starship, zsh, zsh-prompt, zsh-theme",835,"ISC License",https://github.com/starship/starship,https://github.com/starship,https://starship.rs,2019-04-02T03:23:12Z,2025-02-26T06:39:04Z
423275200,fuels-rs,FuelLabs/fuels-rs,43888,1352,16823,Rust,master,,93,"Apache License 2.0",https://github.com/FuelLabs/fuels-rs,https://github.com/FuelLabs,https://fuellabs.github.io/fuels-rs,2021-10-31T22:33:54Z,2025-02-25T10:19:16Z
121898717,vaultwarden,dani-garcia/vaultwarden,42087,2000,9996,Rust,main,"bitwarden, bitwarden-rs, docker, hacktoberfest, rocket, rust, vaultwarden",21,"GNU Affero General Public License v3.0",https://github.com/dani-garcia/vaultwarden,https://github.com/dani-garcia,,2018-02-17T22:40:20Z,2025-02-26T05:39:16Z
699532645,uv,astral-sh/uv,41341,1159,89259,Rust,main,"packaging, python, resolver, uv",1365,"Apache License 2.0",https://github.com/astral-sh/uv,https://github.com/astral-sh,https://docs.astral.sh/uv,2023-10-02T20:24:11Z,2025-02-26T06:49:19Z
234798675,bevy,bevyengine/bevy,38117,3755,134383,Rust,main,"bevy, game-development, game-engine, gamedev, open-source, rust",2528,"Apache License 2.0",https://github.com/bevyengine/bevy,https://github.com/bevyengine,https://bevyengine.org,2020-01-18T21:13:55Z,2025-02-26T06:51:20Z
210702427,typst,typst/typst,37924,1032,130859,Rust,main,"compiler, markup, typesetting",751,"Apache License 2.0",https://github.com/typst/typst,https://github.com/typst,https://typst.app,2019-09-24T21:41:56Z,2025-02-26T06:54:19Z
523043277,ruff,astral-sh/ruff,36146,1226,66861,Rust,main,"linter, pep8, python, python3, ruff, rust, rustpython, static-analysis, static-code-analysis, style-guide, styleguide",1348,"MIT License",https://github.com/astral-sh/ruff,https://github.com/astral-sh,https://docs.astral.sh/ruff,2022-08-09T17:17:44Z,2025-02-26T05:42:38Z
268424739,helix,helix-editor/helix,36058,2676,48781,Rust,master,"kakoune, rust, text-editor, vim",1015,"Mozilla Public License 2.0",https://github.com/helix-editor/helix,https://github.com/helix-editor,https://helix-editor.com,2020-06-01T04:26:56Z,2025-02-26T03:35:44Z
90793418,fd,sharkdp/fd,35705,846,1966,Rust,master,"cli, command-line, filesystem, hacktoberfest, regex, rust, search, terminal, tool",122,"Apache License 2.0",https://github.com/sharkdp/fd,https://github.com/sharkdp,,2017-05-09T21:27:10Z,2025-02-26T05:43:04Z
551376520,Pake,tw93/Pake,35280,6332,50858,Rust,main,"chatgpt, deepseek, excalidraw, gemini, gemini-ai, high-performance, linux-desktop, llm, mac, mac-desktop, music, no-electron, openai, productivity, programming, rust, tauri, twitter, windows-desktop, youtube",37,"MIT License",https://github.com/tw93/Pake,https://github.com/tw93,,2022-10-14T09:32:57Z,2025-02-26T06:48:20Z
120425779,lapce,lapce/lapce,35000,1066,28147,Rust,master,"code-editor, developer-tools, rust, text-editor, vim",829,"Apache License 2.0",https://github.com/lapce/lapce,https://github.com/lapce,https://lap.dev/lapce/,2018-02-06T08:41:06Z,2025-02-26T00:10:57Z
186024298,nushell,nushell/nushell,34007,1745,52492,Rust,main,"rust, shell",1484,"MIT License",https://github.com/nushell/nushell,https://github.com/nushell,https://www.nushell.sh/,2019-05-10T16:59:42Z,2025-02-26T06:25:02Z
263727855,polars,pola-rs/polars,32039,2093,163381,Rust,main,"arrow, dataframe, dataframe-library, dataframes, out-of-core, polars, python, rust",2334,Other,https://github.com/pola-rs/polars,https://github.com/pola-rs,https://docs.pola.rs,2020-05-13T19:45:33Z,2025-02-26T06:43:16Z
115110181,swc,swc-project/swc,31732,1266,370793,Rust,main,"babel, compiler, ecmascript, ecmascript-parser, javascript, parser, rust, swc, typescript, typescript-compiler, typescript-parser",432,"Apache License 2.0",https://github.com/swc-project/swc,https://github.com/swc-project,https://swc.rs,2017-12-22T11:40:14Z,2025-02-26T03:27:24Z
641656392,union,unionlabs/union,31450,1889,439702,Rust,main,"astro, blockchain, bridge, cosmos, cosmwasm, ethereum, evm, golang, indexer, move, nix, prover, relayer, rust, solidity, svelte, typescipt, typescript, zero-knowledge",287,"Apache License 2.0",https://github.com/unionlabs/union,https://github.com/unionlabs,https://union.build,2023-05-16T22:33:39Z,2025-02-26T06:58:58Z
114466145,yew,yewstack/yew,31272,1434,15790,Rust,master,"asmjs, concurrency, elm, emscripten, gui, hacktoberfest, jsx, multithreading, rust, wasm, web, web-framework, webworkers",174,"Apache License 2.0",https://github.com/yewstack/yew,https://github.com/yewstack,https://yew.rs,2017-12-16T14:19:02Z,2025-02-26T06:50:41Z
614764248,tabby,TabbyML/tabby,30055,1379,82511,Rust,main,"ai, codegen, coding-assistant, coding-language, developer-experience, developer-tools, gen-ai, ide, llms",216,Other,https://github.com/TabbyML/tabby,https://github.com/TabbyML,https://tabbyml.com,2023-03-16T09:18:01Z,2025-02-26T05:54:18Z
13124802,influxdb,influxdata/influxdb,29556,3589,199577,Rust,main,"database, go, influxdb, metrics, monitoring, react, rust, time-series",2087,"Apache License 2.0",https://github.com/influxdata/influxdb,https://github.com/influxdata,https://influxdata.com,2013-09-26T14:31:10Z,2025-02-26T05:15:03Z
580836813,comprehensive-rust,google/comprehensive-rust,29412,1749,23527,Rust,main,"android, classroom, course, google, guide, rust, training, training-materials",143,"Apache License 2.0",https://github.com/google/comprehensive-rust,https://github.com/google,https://google.github.io/comprehensive-rust/,2022-12-21T15:17:24Z,2025-02-26T04:40:55Z
3390243,servo,servo/servo,29384,3088,1470607,Rust,main,"browser, rust, servo, web, webbrowser, webengine, webplatform",3223,"Mozilla Public License 2.0",https://github.com/servo/servo,https://github.com/servo,https://servo.org,2012-02-08T19:07:25Z,2025-02-26T05:38:36Z
436658287,surrealdb,surrealdb/surrealdb,28768,960,30898,Rust,main,"backend-as-a-service, cloud-database, database, database-as-a-service, developer-tools, devtools, distributed, distributed-database, document-database, graph-database, iot-database, nosql, realtime-database, serverless, sql, surreal, surrealdb, web",732,Other,https://github.com/surrealdb/surrealdb,https://github.com/surrealdb,https://surrealdb.com,2021-12-09T15:03:29Z,2025-02-26T04:09:28Z
4279682,fish-shell,fish-shell/fish-shell,28055,1983,77864,Rust,master,"fish, rust, shell, terminal",452,Other,https://github.com/fish-shell/fish-shell,https://github.com/fish-shell,https://fishshell.com,2012-05-10T03:00:55Z,2025-02-26T06:56:27Z
