ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
859686186,SQL-tips-and-tricks,ben-nour/SQL-tips-and-tricks,2145,87,122,SQL,main,"mariadb, mysql, postgresql, snowflake, sql, sqlite, tips, tips-and-tricks",0,"MIT License",https://github.com/ben-nour/SQL-tips-and-tricks,https://github.com/ben-nour,,2024-09-19T05:29:04Z,2025-02-26T02:06:48Z
79108501,wilayah,cahyadsn/wilayah,855,329,37346,SQL,master,"data-sesuai-permendagri, indonesia, kepmendagri, kode, mysql, permendagri, php, pulau, sql, wilayah",5,"MIT License",https://github.com/cahyadsn/wilayah,https://github.com/cahyadsn,,2017-01-16T10:39:24Z,2025-02-26T03:41:00Z
118511953,HackerRank-SQL-Challenges-Solutions,Thomas-George-T/HackerRank-SQL-Challenges-Solutions,741,218,65,SQL,master,"challenge, hackerrank, hackerrank-challenges, hackerrank-solutions, hackerrank-sql, hackerrank-sql-solutions, mysql, mysql-environment, problem-solving, select-challenges, solutions, sql, sql-challenges, tutorials",2,"MIT License",https://github.com/Thomas-George-T/HackerRank-SQL-Challenges-Solutions,https://github.com/Thomas-George-T,,2018-01-22T20:36:28Z,2025-02-25T13:46:59Z
294702369,sdk,basedosdados/sdk,400,88,36914,SQL,master,"bigquery, dados-abertos, data-science, govtech, hacktoberfest, hacktoberfest2022, open-data, python, r, sql, transparencia",33,"MIT License",https://github.com/basedosdados/sdk,https://github.com/basedosdados,https://info.basedosdados.org/links,2020-09-11T13:26:45Z,2025-02-26T05:10:32Z
146226916,banco-de-dados,brunocampos01/banco-de-dados,389,59,256732,SQL,master,"banco-de-dados, database, database-objects, geography-database, ine, ine5426, ine5600, ine5613, learning-sql, newsql, normalization, nosql, relational-algebra, sql, sql-query, temporary-database, ufsc, xml-database",0,"MIT License",https://github.com/brunocampos01/banco-de-dados,https://github.com/brunocampos01,,2018-08-27T00:20:58Z,2025-02-04T19:13:47Z
473796683,dbt-ga4,Velir/dbt-ga4,354,147,572,SQL,main,,41,"MIT License",https://github.com/Velir/dbt-ga4,https://github.com/Velir,,2022-03-24T22:47:15Z,2025-02-20T09:02:48Z
78489,agilebill,tony-landis/agilebill,308,177,9158,SQL,master,,6,Other,https://github.com/tony-landis/agilebill,https://github.com/tony-landis,http://www.agileco.com,2008-11-20T03:34:41Z,2025-02-02T00:27:31Z
622205108,NoiSQL,ClickHouse/NoiSQL,276,2,25928,SQL,main,,1,"Apache License 2.0",https://github.com/ClickHouse/NoiSQL,https://github.com/ClickHouse,,2023-04-01T12:39:59Z,2025-02-01T19:00:00Z
20268434,SQL,dhaval1406/SQL,216,84,540,,master,,3,,https://github.com/dhaval1406/SQL,https://github.com/dhaval1406,,2014-05-28T18:44:42Z,2025-02-12T12:36:53Z
669881009,sql-portfolio,faizanxmulla/sql-portfolio,157,37,21773,SQL,main,"8weeksqlchallenge, casestudies, codingninjas, datalemur, datalemur-solutions, dbms, hackerrank, hackerrank-solutions, interviewbit, interviewbit-solutions, leetcode-solutions, mysql, postgressql, sql, stratascratch",0,"MIT License",https://github.com/faizanxmulla/sql-portfolio,https://github.com/faizanxmulla,,2023-07-23T18:22:33Z,2025-02-26T05:58:47Z
