ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
28457823,freeCodeCamp,freeCodeCamp/freeCodeCamp,410478,39042,489088,TypeScript,main,"careers, certification, community, curriculum, d3, education, freecodecamp, hacktoberfest, javascript, learn-to-code, math, nodejs, nonprofits, programming, react, teachers",253,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp,https://contribute.freecodecamp.org,2014-12-24T17:49:19Z,2025-02-26T06:57:27Z
85077558,developer-roadmap,kamranahmedse/developer-roadmap,309100,40394,252159,TypeScript,master,"angular-roadmap, backend-roadmap, blockchain-roadmap, computer-science, dba-roadmap, developer-roadmap, devops-roadmap, frontend-roadmap, go-roadmap, java-roadmap, javascript-roadmap, nodejs-roadmap, python-roadmap, qa-roadmap, react-roadmap, roadmap, software-architect-roadmap, vue-roadmap",164,Other,https://github.com/kamranahmedse/developer-roadmap,https://github.com/kamranahmedse,https://roadmap.sh,2017-03-15T13:45:52Z,2025-02-26T06:55:28Z
11730342,vue,vuejs/vue,208413,33720,32152,TypeScript,main,"framework, frontend, javascript, vue",601,"MIT License",https://github.com/vuejs/vue,https://github.com/vuejs,http://v2.vuejs.org,2013-07-29T03:24:51Z,2025-02-26T05:59:03Z
41881900,vscode,microsoft/vscode,167801,30719,988129,TypeScript,main,"editor, electron, microsoft, typescript, visual-studio-code",9292,"MIT License",https://github.com/microsoft/vscode,https://github.com/microsoft,https://code.visualstudio.com,2015-09-03T20:23:38Z,2025-02-26T06:50:10Z
62607227,tech-interview-handbook,yangshun/tech-interview-handbook,122093,15018,32189,TypeScript,main,"algorithm, algorithm-interview, algorithm-interview-questions, algorithms, behavioral-interviews, coding-interviews, interview-practice, interview-preparation, interview-questions, system-design",49,"MIT License",https://github.com/yangshun/tech-interview-handbook,https://github.com/yangshun,https://www.techinterviewhandbook.org,2016-07-05T05:00:48Z,2025-02-26T06:38:28Z
20929025,TypeScript,microsoft/TypeScript,102352,12681,2849631,TypeScript,main,"javascript, language, typechecker, typescript",6058,"Apache License 2.0",https://github.com/microsoft/TypeScript,https://github.com/microsoft,https://www.typescriptlang.org,2014-06-17T15:28:39Z,2025-02-26T04:36:05Z
24195339,angular,angular/angular,97042,25914,524210,TypeScript,main,"angular, javascript, pwa, typescript, web, web-framework, web-performance",1770,"MIT License",https://github.com/angular/angular,https://github.com/angular,https://angular.dev,2014-09-18T16:12:01Z,2025-02-26T05:39:16Z
23083156,material-ui,mui/material-ui,94883,32505,652746,TypeScript,master,"design-systems, material-design, react, react-components",1833,"MIT License",https://github.com/mui/material-ui,https://github.com/mui,https://mui.com/material-ui/,2014-08-18T19:11:54Z,2025-02-26T06:37:11Z
34526884,ant-design,ant-design/ant-design,93796,51315,216213,TypeScript,master,"ant-design, antd, design-systems, react, typescript, ui-kit, ui-library",1287,"MIT License",https://github.com/ant-design/ant-design,https://github.com/ant-design,https://ant.design,2015-04-24T15:37:24Z,2025-02-26T06:18:50Z
231283452,excalidraw,excalidraw/excalidraw,93161,8926,90580,TypeScript,master,"canvas, collaboration, diagrams, drawing, hacktoberfest, productivity, whiteboard",2053,"MIT License",https://github.com/excalidraw/excalidraw,https://github.com/excalidraw,https://excalidraw.com,2020-01-02T01:04:43Z,2025-02-26T06:56:12Z
90796663,puppeteer,puppeteer/puppeteer,89823,9148,1041581,TypeScript,main,"automation, chrome, chromium, developer-tools, firefox, headless-chrome, node-module, testing, web",264,"Apache License 2.0",https://github.com/puppeteer/puppeteer,https://github.com/puppeteer,https://pptr.dev,2017-05-09T22:16:13Z,2025-02-26T06:35:35Z
106017343,tailwindcss,tailwindlabs/tailwindcss,85948,4385,109206,TypeScript,main,"css, css-framework, functional-css, postcss, responsive, tailwindcss, utility-classes",95,"MIT License",https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs,https://tailwindcss.com/,2017-10-06T14:59:14Z,2025-02-26T06:43:01Z
54173593,storybook,storybookjs/storybook,85939,9448,950018,TypeScript,next,"angular, components, design-systems, documentation, html, javascript, react, react-native, stories, storybook, styleguide, svelte, testing, typescript, ui, vite, vue, web-components, webpack, workshop",2189,"MIT License",https://github.com/storybookjs/storybook,https://github.com/storybookjs,https://storybook.js.org,2016-03-18T04:23:44Z,2025-02-26T02:26:57Z
